Searching for any hub with Pybricks service...
battery mV: 8522
gains: 10.71 0.8700001 0.43 0.3 fc: 10
stopped, fell_at_ms: -1 steps: 1000 elapsed: 5000
t_ms,pitch_x10,rate_dps,duty,wheel_deg
1,0,0,0,0
20,0,0,0,0
40,0,0,0,0
60,0,-1,-1,0
80,0,-1,-1,0
100,0,0,-1,0
120,-1,-1,-2,0
140,-1,0,-1,0
160,-1,0,-1,0
180,-1,0,-2,0
200,-1,0,-1,0
220,-1,0,-1,0
240,-1,0,-1,0
260,-1,0,0,0
280,-1,0,-1,0
301,-1,0,-1,0
320,-1,0,-1,0
341,-1,0,-1,0
360,-1,0,-1,0
380,-1,0,-1,0
401,-1,0,-1,0
421,-1,0,-2,0
441,-1,-1,-3,0
461,-2,0,-2,0
481,-2,0,-2,0
500,-2,0,-2,0
521,-2,0,-3,0
540,-2,0,-2,0
560,-2,0,-2,0
581,-2,0,-3,0
601,-2,0,-3,0
621,-2,0,-3,0
641,-2,-1,-3,0
661,-3,-1,-4,0
681,-3,0,-3,0
700,-3,0,-3,0
720,-3,0,-3,0
740,-3,0,-3,0
760,-3,0,-4,0
780,-3,0,-4,0
800,-3,0,-4,0
820,-3,0,-4,0
840,-3,0,-4,0
860,-3,0,-4,0
880,-4,-1,-5,0
900,-4,-1,-5,0
920,-4,-1,-6,0
940,-4,0,-5,0
960,-4,0,-5,0
980,-5,0,-5,0
1000,-5,-1,-6,0
1020,-5,-1,-6,0
1040,-5,-1,-7,0
1060,-6,-1,-8,0
1080,-6,-1,-8,0
1100,-6,-1,-8,0
1120,-7,-2,-9,0
1140,-7,-1,-9,0
1160,-7,7,-1,0
1180,-4,18,8,-1
1200,-2,1,-4,0
1220,-5,-19,-26,-1
1240,-4,48,29,-3
1260,11,60,50,-4
1280,3,-168,-100,-1
1300,-32,-93,-100,-1
1321,-1,357,100,-9
1341,54,98,100,-10
1361,20,-296,-100,-4
1381,-17,-24,-48,-5
1400,32,343,100,-11
1421,62,-113,-42,-9
1440,5,-306,-100,-2
1461,-12,234,100,-7
1480,55,301,100,-12
1501,53,-226,-100,-4
1521,12,-102,-38,1
1540,39,262,100,-1
1561,70,-84,21,1
1580,7,-404,-100,8
1601,-41,22,19,7
1620,-6,266,100,2
1640,23,-83,-30,4
1660,-35,-351,-100,13
1680,-61,197,100,10
