Searching for any hub with Pybricks service...
battery mV: 8507
gains: 10.71 0.8700001 0.43 0.3 fc: 10 ramp: 8 tau: 30
stopped, fell_at_ms: -1 steps: 1000 elapsed: 5000
t_ms,pitch_x10,rate_dps,duty,wheel_deg
2,0,0,0,0
21,0,0,0,0
41,0,0,0,0
61,0,0,0,0
81,0,0,0,0
101,0,0,0,0
121,0,0,0,0
141,0,0,0,0
161,0,0,0,0
181,0,0,0,0
201,0,0,0,0
221,0,0,0,0
241,0,0,0,0
261,0,0,0,0
281,0,0,0,0
301,0,0,0,0
321,0,0,1,0
341,0,1,2,0
361,1,1,2,0
381,1,1,3,0
401,1,1,2,0
421,1,1,2,0
441,2,1,3,0
461,2,1,3,0
481,2,1,3,0
501,2,0,3,0
521,2,0,2,0
541,2,0,2,0
561,2,0,2,0
581,2,0,3,0
601,2,0,3,0
621,2,0,3,0
641,2,0,3,0
661,3,0,3,0
681,3,0,3,0
701,3,0,3,0
721,3,0,2,0
741,3,0,3,0
761,3,0,3,0
781,3,0,4,0
801,3,0,4,0
821,3,1,5,0
841,4,1,5,0
861,4,1,6,0
881,4,1,6,0
901,5,1,6,0
921,5,1,7,0
941,5,1,7,0
961,5,0,6,0
981,5,0,6,0
1001,5,0,5,0
1021,5,0,5,0
1041,5,0,5,0
1061,5,0,5,0
1081,5,0,5,0
1101,5,0,6,0
1121,5,0,6,0
1141,6,1,7,0
1161,6,1,8,0
1181,6,1,8,0
1201,6,1,8,0
1221,6,0,8,0
1241,6,0,7,0
1261,6,0,7,0
1281,6,0,7,0
1301,6,0,6,0
1321,6,0,6,0
1341,6,0,6,0
1362,6,0,6,0
1381,6,0,6,0
1401,6,0,5,0
1421,5,0,5,0
1441,5,0,5,0
1461,5,0,4,0
1481,5,-1,4,0
1501,5,0,4,0
1521,4,0,4,0
1541,4,0,4,0
1561,4,0,4,0
1581,4,0,4,0
1601,4,0,3,0
1621,4,0,3,0
1641,3,-1,3,0
1661,3,0,3,0
1681,3,0,3,0
1701,3,0,2,0
1721,3,0,3,0
1741,3,0,3,0
1761,3,0,3,0
1781,3,0,3,0
1801,3,0,3,0
1821,3,0,2,0
1841,2,0,3,0
1861,2,0,2,0
1881,2,0,2,0
1901,2,0,3,0
1921,2,0,3,0
1941,2,0,2,0
1961,2,0,2,0
1981,2,0,2,0
2001,2,0,2,0
2021,2,0,2,0
2041,2,0,2,0
2061,2,0,2,0
2081,2,0,3,0
2101,2,0,3,0
2121,2,0,3,0
2141,2,0,2,0
2161,2,0,3,0
2181,2,0,3,0
2201,3,0,3,0
2222,3,0,3,0
2241,2,0,3,0
2261,2,0,2,0
2281,2,0,3,0
2301,2,0,2,0
2321,2,0,3,0
2341,2,0,3,0
2361,2,0,3,0
2381,2,0,2,0
2401,2,0,3,0
2421,2,0,2,0
2441,2,0,2,0
2461,2,0,2,0
2481,2,0,2,0
2502,2,0,2,0
2521,2,0,2,0
2541,2,0,2,0
2561,2,0,3,0
2581,2,0,3,0
2601,2,0,3,0
2621,2,0,2,0
2641,2,0,3,0
2661,2,0,3,0
2681,2,0,2,0
2701,2,0,2,0
2721,2,0,3,0
2741,2,0,3,0
2761,2,0,2,0
2781,2,0,3,0
2801,2,0,3,0
2821,3,0,3,0
2841,3,0,3,0
2861,3,0,4,0
2881,3,0,4,0
2901,3,0,4,0
2921,3,0,4,0
2941,3,0,4,0
2961,3,0,4,0
2981,3,0,4,0
3001,3,0,4,0
3021,3,0,3,0
3041,3,0,3,0
3061,3,0,2,0
3081,3,0,2,0
3101,3,0,2,0
3121,3,0,3,0
3141,3,0,4,0
3161,3,0,3,0
3181,3,0,3,0
3201,3,0,4,0
3221,3,0,3,0
3241,3,0,3,0
3261,3,0,3,0
3281,3,0,3,0
3301,3,0,2,0
3321,3,0,3,0
3341,3,0,2,0
3361,3,0,3,0
3381,2,0,2,0
3401,2,0,2,0
3421,2,0,2,0
3441,2,0,2,0
3461,2,0,3,0
3481,2,0,2,0
3501,2,0,3,0
3522,2,0,3,0
3541,2,0,3,0
3561,2,0,2,0
3581,3,0,3,0
3601,3,0,3,0
3621,3,0,3,0
3641,3,0,3,0
3661,3,0,3,0
3681,3,0,3,0
3701,3,0,4,0
3721,3,0,4,0
3741,3,0,3,0
3761,3,0,4,0
3781,3,0,4,0
3801,3,0,4,0
3821,3,0,4,0
3841,3,0,4,0
3861,3,0,3,0
3881,3,0,3,0
3901,3,0,3,0
3921,3,0,3,0
3941,3,0,3,0
3961,3,0,3,0
3981,3,0,3,0
4001,3,0,4,0
4021,3,0,3,0
4041,3,0,4,0
4061,3,0,4,0
4081,3,0,4,0
4101,3,0,4,0
4121,3,0,4,0
4141,3,0,3,0
4161,3,0,3,0
4181,3,0,3,0
4201,3,0,3,0
4221,3,0,3,0
4241,3,0,3,0
4261,3,0,3,0
4281,3,0,3,0
4301,3,0,3,0
4321,3,0,3,0
4341,3,0,3,0
4361,3,0,3,0
4381,3,0,3,0
4401,3,0,2,0
4421,3,0,3,0
4441,3,0,2,0
4461,2,0,3,0
4481,2,0,2,0
4501,2,0,3,0
4521,2,0,2,0
4543,2,0,3,0
4561,2,0,3,0
4581,2,0,3,0
4601,2,0,2,0
4621,2,0,3,0
4641,2,0,2,0
4661,2,0,2,0
4681,2,0,3,0
4701,2,0,2,0
4721,2,0,3,0
4741,2,0,2,0
4761,2,0,3,0
4781,2,0,2,0
4801,2,0,3,0
4821,2,0,2,0
4841,2,0,3,0
4861,2,0,3,0
4881,2,0,3,0
4901,2,0,2,0
4921,2,0,2,0
4941,2,0,1,0
4961,2,0,2,0
4981,2,0,2,0
END

[exited with code 0]
