try 1: rc=1 
Searching for any hub with Pybricks service...
battery mV: 8482
gains: 10.71 0.8700001 0.43 0.3 fc: 10 ramp: 4 tau: 30
stopped, fell_at_ms: -1 steps: 1600 elapsed: 8000
t_ms,pitch_x10,rate_dps,duty,wheel_deg
2,0,0,0,0
21,0,0,0,0
41,0,-1,-1,0
61,0,-1,-1,0
81,-1,-1,-2,0
101,-1,-1,-1,0
121,-1,0,-2,0
141,-1,0,-2,0
161,-1,0,-2,0
181,-1,0,-2,0
201,-1,0,-2,0
221,-1,0,-2,0
241,-2,0,-2,0
261,-2,0,-2,0
281,-2,0,-2,0
301,-2,0,-2,0
321,-2,0,-2,0
341,-2,0,-3,0
361,-2,-1,-3,0
381,-3,-1,-5,0
401,-3,-1,-4,0
421,-3,-1,-5,0
441,-4,-1,-6,0
461,-4,-2,-7,0
481,-5,-3,-8,0
501,-6,-4,-11,0
521,-7,-3,-11,0
541,-5,2,-6,0
561,0,14,5,-2
581,2,13,5,-2
601,1,3,-1,-2
621,0,0,-5,-1
641,3,9,9,-1
661,7,13,19,-1
681,8,7,18,-1
701,-1,-24,-9,3
721,-18,-47,-35,7
741,-11,2,12,4
761,19,74,95,1
781,21,20,56,5
801,-37,-134,-100,17
821,-81,-147,-100,17
841,-46,23,-1,10
861,25,178,100,1
881,48,111,100,2
901,-5,-77,-82,12
921,-57,-142,-100,16
941,-38,-9,-43,12
961,29,150,100,2
981,65,136,100,1
1001,14,-61,-37,10
1021,-47,-159,-100,19
1041,-39,-39,-59,16
1061,28,134,100,7
1081,69,142,100,6
1101,18,-54,-2,15
1121,-39,-155,-100,26
1141,-45,-76,-78,25
1161,12,105,100,17
1181,67,166,100,14
1201,33,-12,54,20
1221,-24,-139,-100,33
1241,-44,-96,-83,36
1261,10,91,100,31
1281,67,167,100,29
1301,33,-13,90,37
1321,-31,-157,-99,52
1341,-68,-141,-100,57
1361,-23,48,100,54
1381,40,164,100,52
1401,22,6,100,60
1421,-51,-172,-100,75
1441,-102,-179,-100,81
1461,-67,3,38,78
1481,3,159,100,72
1501,14,74,100,77
1521,-53,-127,-85,89
1541,-118,-199,-100,98
1561,-104,-47,-64,94
1582,-34,136,100,86
1601,17,172,100,84
1621,-29,-33,-11,92
1641,-102,-186,-100,103
1661,-124,-123,-100,100
1681,-73,65,37,92
1701,-4,190,100,83
1721,-3,65,76,86
1741,-73,-133,-100,95
1761,-128,-171,-100,94
1781,-93,7,-70,87
1801,-25,168,100,75
1821,16,152,100,71
1841,-36,-62,-100,76
1861,-106,-179,-100,80
1881,-101,-56,-100,73
1901,-43,116,34,61
1921,24,202,100,48
1941,20,65,16,47
1961,-52,-127,-100,53
1981,-88,-125,-100,50
2001,-38,58,-35,41
2021,27,184,100,26
2041,54,128,100,21
2061,-6,-81,-100,25
2081,-63,-165,-100,27
2101,-48,-27,-100,18
2121,15,143,79,2
2141,78,202,100,-8
2161,54,22,-25,-7
2181,-11,-140,-100,0
2201,-28,-74,-100,-6
2221,28,104,48,-18
2241,101,208,100,-29
2261,98,76,94,-29
2281,38,-93,-100,-20
2301,3,-114,-100,-20
2321,30,19,10,-28
2341,101,171,100,-39
2361,128,124,100,-38
2381,71,-70,-28,-30
2401,24,-139,-100,-22
2421,27,-43,-15,-25
2441,87,118,100,-34
2461,120,115,100,-31
2482,71,-59,40,-22
2501,24,-133,-57,-7
2521,12,-81,0,-4
2541,49,49,100,-7
2561,60,23,100,-2
2581,0,-132,-11,10
2601,-51,-183,-100,24
2621,-48,-66,-12,24
2641,3,88,100,18
2661,32,92,100,21
2681,-18,-85,-14,32
2701,-83,-197,-100,45
2721,-101,-104,-100,44
2741,-43,89,100,37
2761,19,174,100,34
2781,3,27,68,40
2801,-64,-149,-100,53
2821,-117,-170,-100,55
2841,-89,-8,-42,49
2861,-23,145,100,40
2881,15,141,100,38
2901,-41,-66,-100,46
2921,-109,-191,-100,52
2941,-104,-54,-100,48
2961,-38,122,71,38
2981,20,194,100,28
3001,0,27,-2,31
3021,-67,-145,-100,40
3041,-96,-115,-100,36
3061,-42,75,2,28
3081,21,190,100,14
3101,38,100,83,14
3121,-27,-110,-100,22
3141,-85,-167,-100,21
3161,-70,-34,-100,12
3181,-7,136,60,-3
3201,56,202,100,-14
3221,45,52,-12,-13
3241,-22,-121,-100,-7
3261,-47,-94,-100,-12
3281,9,88,13,-23
3301,79,210,100,-38
3321,93,113,100,-39
3341,34,-77,-100,-33
3361,-6,-119,-100,-31
3381,30,38,-1,-40
3401,95,172,100,-51
3421,117,117,100,-51
3441,66,-65,-40,-44
3461,19,-136,-100,-36
3481,30,-18,-2,-40
3501,91,135,100,-47
3521,123,110,100,-45
3541,75,-62,31,-37
3561,26,-142,-72,-23
3581,18,-66,6,-21
3601,65,77,100,-25
3621,82,49,100,-19
3641,27,-111,14,-7
3661,-21,-158,-65,7
3681,-24,-72,6,9
3701,18,63,100,7
3721,38,53,100,14
3741,-18,-119,-8,27
3761,-87,-208,-100,41
3781,-102,-119,-99,41
3801,-47,64,100,36
3823,3,138,100,36
3841,-18,-13,41,43
3861,-95,-177,-100,57
3881,-139,-169,-100,59
3901,-94,24,-4,54
3921,-27,173,100,44
3941,6,135,100,44
3961,-55,-81,-100,52
3981,-120,-190,-100,59
4001,-113,-56,-100,54
4021,-57,109,54,45
4041,10,203,100,34
4061,1,53,15,36
4081,-66,-131,-100,44
4101,-103,-118,-100,42
4121,-55,62,-17,34
4141,10,176,100,20
4161,36,127,100,18
4181,-25,-78,-100,25
4201,-82,-163,-100,27
4221,-69,-33,-100,20
4241,-8,123,61,7
4261,44,179,100,-2
4281,20,13,-35,0
4301,-40,-133,-100,6
4321,-54,-72,-100,0
4341,7,109,42,-11
4361,72,207,100,-23
4381,69,70,61,-22
4401,11,-101,-100,-13
4421,-25,-115,-100,-15
4441,16,55,14,-24
4461,80,176,100,-35
4481,99,98,100,-34
4501,44,-83,-72,-25
4521,-5,-140,-100,-21
4541,19,9,6,-27
4561,80,144,100,-35
4581,101,88,100,-33
4601,46,-88,-26,-23
4622,-4,-152,-100,-13
4641,-1,-49,-21,-15
4661,58,108,100,-22
4681,93,113,100,-21
4701,42,-71,14,-11
4721,-19,-171,-100,2
4741,-30,-84,-50,3
4761,30,92,100,-2
4781,73,131,100,-2
4801,34,-38,61,6
4821,-24,-146,-88,22
4841,-54,-133,-86,28
4861,-20,20,84,23
4881,27,116,100,19
4901,20,20,100,26
4921,-40,-139,-96,39
4941,-95,-187,-100,46
4961,-71,-12,-11,42
4981,-7,145,100,33
5001,26,117,100,35
5021,-29,-83,-71,44
5041,-98,-190,-100,52
5061,-100,-80,-100,49
5081,-45,94,75,40
5101,18,183,100,33
5121,6,35,31,37
5141,-65,-138,-100,47
5161,-104,-142,-100,45
5181,-63,36,-29,38
5201,4,171,100,25
5221,37,142,100,24
5241,-20,-68,-100,29
5261,-80,-170,-100,35
5281,-72,-41,-100,29
5301,-9,122,76,17
5321,43,182,100,8
5341,17,9,-21,11
5361,-45,-141,-100,18
5381,-61,-82,-100,14
5401,-3,101,42,2
5421,58,195,100,-9
5441,55,59,48,-8
5461,-5,-112,-100,0
5481,-42,-115,-100,-1
5501,3,60,14,-11
5521,66,179,100,-22
5541,87,106,100,-22
5561,34,-77,-80,-14
5581,-19,-145,-100,-8
5601,4,5,-10,-14
5621,70,149,100,-23
5641,101,122,100,-23
5661,53,-60,1,-13
5681,-8,-161,-100,-1
5701,-19,-85,-64,-2
5721,39,91,100,-10
5743,87,148,100,-11
5761,58,-9,85,-4
5781,-1,-137,-81,11
5801,-35,-137,-94,16
5821,1,28,97,12
5841,50,120,100,9
5861,32,0,100,17
5881,-31,-151,-89,30
5901,-77,-177,-100,38
5921,-58,-26,-5,33
5941,5,139,100,26
5961,45,131,100,26
5981,-9,-75,-50,35
6001,-78,-198,-100,45
6021,-88,-87,-100,44
6041,-28,99,100,36
6061,33,182,100,30
6081,16,27,62,36
6101,-49,-141,-100,48
6121,-96,-154,-100,49
6141,-56,26,5,43
6161,7,155,100,33
6181,30,107,100,34
6201,-31,-91,-100,43
6221,-92,-184,-100,48
6241,-81,-41,-100,43
6261,-14,132,100,32
6281,42,189,100,27
6301,8,-4,-11,32
6321,-58,-154,-100,40
6341,-80,-103,-100,36
6361,-28,73,29,26
6381,32,180,100,16
6401,41,79,77,16
6421,-19,-104,-100,25
6441,-63,-135,-100,23
6461,-30,22,-43,14
6481,31,159,100,1
6501,70,145,100,-1
6521,26,-41,-65,3
6541,-29,-137,-100,10
6563,-17,-15,-64,5
6581,44,139,100,-5
6601,93,160,100,-10
6621,55,-21,14,-5
6641,-6,-144,-100,6
6661,-19,-78,-84,6
6681,34,91,100,-1
6701,85,149,100,-4
6721,61,0,89,2
6741,-2,-141,-96,15
6761,-44,-161,-100,22
6781,-13,6,56,17
6801,42,130,100,10
6821,54,67,100,14
6841,-7,-109,-60,26
6861,-58,-168,-100,34
6881,-40,-25,-8,31
6901,20,129,100,23
6921,51,115,100,26
6941,-4,-76,-32,36
6961,-63,-177,-100,46
