Searching for any hub with Pybricks service...
battery mV: 8436
fell_in_seg: 1
t_ms,seg,pitch_x10,duty,wheel_speed_dps,speed_term_duty
2,0,0,0,0,0
21,0,0,0,0,0
41,0,0,-1,-2,0
61,0,0,-1,-2,0
81,0,0,0,0,0
101,0,0,1,0,0
121,0,0,0,-2,0
141,0,0,2,2,0
161,0,1,3,2,0
181,0,1,3,0,0
201,0,1,3,0,0
221,0,2,5,2,0
241,0,2,3,0,0
261,0,1,1,0,0
281,0,2,2,0,0
301,0,2,1,0,0
321,0,1,2,3,1
341,0,1,1,2,0
361,0,1,1,1,0
381,0,1,0,1,0
401,0,0,0,0,0
421,0,0,-1,-3,-1
441,0,0,0,1,0
461,0,0,0,-1,0
481,0,0,0,-1,0
501,0,0,0,2,0
521,0,0,0,0,0
541,0,0,-2,-3,-1
561,0,0,-1,0,0
581,0,0,0,0,0
601,0,0,0,-2,0
621,0,0,0,1,0
641,0,0,0,2,0
661,0,0,0,2,0
681,0,0,0,0,0
701,0,0,0,0,0
721,0,0,1,0,0
741,0,0,0,-2,0
761,0,0,0,-2,0
781,0,0,0,0,0
801,0,0,0,0,0
821,0,0,0,-2,0
841,0,0,1,0,0
861,0,0,1,0,0
881,0,1,1,0,0
901,0,1,2,1,0
921,0,1,2,1,0
941,0,1,2,0,0
961,0,2,3,0,0
981,0,2,4,3,1
1001,0,2,2,-1,0
1021,0,2,3,2,0
1041,0,2,3,1,0
1061,0,2,3,2,0
1081,0,2,2,-3,-1
1101,0,2,3,1,0
1121,0,1,0,-2,0
1141,0,1,-2,-1,0
1161,0,-1,-7,-2,0
1181,0,-3,-10,0,0
1201,0,-4,-13,-10,-3
1221,0,0,-1,-28,-8
1241,0,8,11,-47,-14
1261,0,4,-15,-55,-16
1282,0,-8,-40,-51,-15
1301,0,-11,-40,-58,-17
1321,0,14,34,-98,-29
1341,0,42,40,-139,-41
1361,0,21,-38,-123,-36
1382,0,-23,-40,-85,-25
1401,0,-17,-40,-94,-28
1421,0,22,40,-94,-28
1441,0,33,40,-72,-21
1461,0,-7,-40,-58,-17
1481,0,-35,-40,-84,-25
1501,0,-3,-12,-98,-29
1521,0,25,40,-117,-35
1543,0,13,-30,-95,-28
