t_ms,seg,pitch_x10,duty,wheel_mean,wheel_diff
2,0,0,0,0,0
21,0,0,0,0,0
41,0,0,1,0,0
61,0,0,1,0,0
81,0,0,1,0,0
101,0,0,1,0,0
121,0,0,0,0,0
141,0,0,0,0,0
161,0,0,0,0,0
181,0,0,0,0,0
201,0,0,0,0,0
221,0,0,0,0,0
241,0,0,0,0,0
261,0,0,0,0,-1
281,0,0,-1,0,0
301,0,0,-2,0,0
321,0,0,-2,0,0
341,0,-1,-2,0,0
361,0,-1,-3,0,0
381,0,-1,-3,0,0
401,0,-2,-3,0,0
421,0,-2,-4,0,0
441,0,-3,-5,0,0
461,0,-3,-4,0,0
481,0,-3,-4,0,0
501,0,-2,0,0,0
521,0,-1,2,0,0
541,0,0,6,0,0
561,0,3,10,0,0
581,0,5,17,0,-1
601,0,5,14,1,-1
621,0,0,0,4,-2
641,0,-5,4,6,-1
661,0,2,37,7,0
681,0,11,40,8,0
701,0,0,15,12,1
721,0,-29,-40,19,3
741,0,-34,-15,21,2
761,0,9,40,18,2
781,0,30,40,18,3
801,0,-1,5,23,2
821,0,-26,-34,31,2
841,0,-6,40,31,1
861,0,31,40,30,3
881,0,25,40,34,4
901,0,-4,24,42,2
921,0,-12,31,50,2
941,0,-14,40,56,1
961,0,-29,40,65,-2
981,0,-57,5,75,-6
1001,0,-90,-40,83,-11
1021,0,-97,-22,85,-11
1041,0,-70,40,83,-10
1061,0,-51,40,81,-9
1081,0,-67,-19,86,-11
1101,0,-106,-40,92,-14
1121,0,-113,-40,90,-14
1141,0,-90,-35,84,-14
1161,0,-62,23,77,-15
1181,0,-43,8,73,-16
1201,0,-70,-40,73,-16
1221,0,-99,-40,72,-16
1241,0,-90,-40,66,-18
1261,0,-69,-40,58,-18
1281,0,-49,-38,48,-17
1301,0,-27,-32,38,-16
1321,0,3,-10,27,-15
1341,0,27,-1,17,-14
1361,0,37,-25,11,-13
1381,0,33,-40,7,-11
1401,0,44,-18,0,-11
1421,0,87,40,-8,-10
1441,0,103,40,-9,-9
1461,0,62,-37,-5,-8
1481,0,40,-40,-2,-7
1501,0,75,40,-6,-6
1521,0,106,40,-8,-4
1542,0,81,40,-5,-6
1561,0,57,38,3,-3
1581,0,56,40,9,-3
