t_ms,seg,pitch_x10,duty,wheel_speed_dps,speed_term_duty
2,0,0,0,0,0
21,0,0,-1,-1,0
41,0,0,-1,-1,0
61,0,0,-2,-1,0
81,0,-1,-3,-3,0
101,0,-1,-2,-1,0
121,0,-1,-1,0,0
141,0,-1,0,0,0
161,0,0,0,0,0
181,0,0,0,1,0
201,0,0,0,0,0
221,0,0,1,0,0
242,0,0,1,0,0
261,0,0,0,0,0
281,0,0,0,0,0
301,0,0,0,0,0
321,0,0,-1,0,0
341,0,0,-1,0,0
361,0,0,0,0,0
381,0,0,-1,-1,0
401,0,0,0,0,0
421,0,0,-1,0,0
441,0,-1,-3,0,0
461,0,-2,-4,0,0
481,0,-2,-4,1,0
501,0,-3,-6,-1,0
521,0,-4,-8,-1,0
541,0,-5,-10,-1,0
561,0,-6,-11,-3,0
581,0,-5,-9,-9,-2
601,0,0,3,-19,-5
621,0,3,7,-30,-9
641,0,2,-3,-25,-7
661,0,-2,-17,-21,-6
681,0,0,-3,-27,-8
701,0,16,40,-38,-11
721,0,25,40,-36,-10
741,0,2,-36,3,0
761,0,-29,-40,46,13
781,0,-17,-15,30,9
801,0,21,40,-7,-2
821,0,32,40,2,0
841,0,-9,-40,12,3
861,0,-34,-40,-12,-3
881,0,-6,14,-19,-5
901,0,27,40,-9,-2
921,0,22,37,3,1
941,0,-14,-40,15,4
961,0,-28,-40,-9,-2
981,0,7,40,-13,-4
1001,0,39,40,0,0
1021,0,18,10,21,6
1041,0,-18,-40,19,5
1061,0,-17,-37,5,1
1081,0,19,40,4,1
1101,0,38,40,25,7
1121,0,13,-7,23,7
1141,0,-16,-40,18,5
1161,0,-7,-4,20,6
1181,0,28,40,17,5
1201,0,40,40,37,11
1221,0,8,-18,59,17
1241,0,-18,-40,56,16
1261,0,0,32,53,15
1282,0,42,40,54,16
1301,0,44,40,71,21
1321,0,9,-9,81,24
1341,0,-10,-39,79,23
1361,0,3,40,87,26
1381,0,36,40,115,34
1401,0,30,40,129,38
1421,0,-6,-21,141,42
1441,0,-26,-40,139,41
1461,0,-2,40,134,40
1481,0,34,40,132,39
1501,0,25,40,141,42
1521,0,-8,-14,130,39
1541,0,-27,-27,149,44
1561,0,-10,40,163,48
1581,0,19,40,174,52
1601,0,7,40,179,53
1621,0,-33,-35,201,60
1641,0,-52,-40,180,54
1661,0,-22,40,164,49
1681,0,9,40,148,44
1701,0,-9,40,142,42
1721,0,-47,-40,135,40
1741,0,-57,-40,99,29
1761,0,-19,40,85,25
1781,0,9,40,92,27
1801,0,-19,5,92,27
1821,0,-59,-40,89,26
1841,0,-57,-33,70,21
1861,0,-15,40,62,18
1881,0,0,40,65,19
1901,0,-36,-39,64,19
1921,0,-73,-40,43,12
1941,0,-55,-10,27,8
1961,0,-15,40,13,4
1981,0,-11,40,23,6
2001,0,-55,-40,31,9
2021,0,-81,-40,-2,0
2041,0,-50,2,-17,-5
2063,0,-16,40,-24,-7
2081,0,-22,16,-15,-4
2101,0,-71,-40,-15,-4
2121,0,-88,-40,-47,-14
2141,0,-53,-7,-61,-18
2161,0,-26,40,-72,-21
2181,0,-39,-39,-80,-24
2201,0,-82,-40,-102,-30
2221,0,-87,-40,-128,-38
2241,0,-52,-24,-149,-44
2261,0,-26,19,-165,-49
2281,0,-33,-40,-193,-58
2301,0,-61,-40,-230,-69
2323,0,-57,-40,-252,-75
2341,0,-24,-26,-267,-80
2361,0,0,8,-275,-82
2381,0,5,-27,-297,-89
2401,0,-11,-40,-311,-93
2421,0,-18,-40,-313,-94
2441,0,16,0,-303,-90
2461,0,47,40,-302,-90
2481,0,32,-40,-252,-75
2501,0,-16,-40,-214,-64
2521,1,-13,-40,-201,-63
2541,1,31,37,-217,-62
2561,1,46,39,-161,-57
2581,1,8,-40,-133,-48
2601,1,-25,-40,-163,-47
2621,1,1,-32,-164,-48
2641,1,37,40,-165,-49
2661,1,36,0,-148,-47
2681,1,-3,-40,-150,-45
2701,1,-13,-40,-162,-46
2721,1,25,18,-171,-48
2741,1,53,40,-163,-50
2761,1,34,-40,-138,-46
2781,1,-6,-40,-123,-41
2801,1,-1,-40,-127,-40
2821,1,41,40,-146,-41
2841,1,59,40,-101,-37
2861,1,26,-40,-79,-30
2881,1,-5,-40,-84,-26
2901,1,21,-3,-90,-26
2921,1,61,40,-89,-27
2941,1,61,40,-42,-20
2961,1,19,-40,-17,-12
2981,1,4,-40,-36,-10
3001,1,45,40,-47,-12
3023,1,80,40,-7,-9
3041,1,57,23,9,-3
3061,1,25,-40,30,3
3081,1,31,6,8,3
3101,1,74,40,14,3
3121,1,85,40,78,12
3141,1,55,30,113,23
3161,1,43,20,125,31
3181,1,34,25,196,43
3201,1,22,29,313,66
3221,1,10,40,364,88
3241,1,-4,31,388,103
3261,1,-33,-14,398,112
3281,1,-58,-40,388,116
3301,1,-55,13,302,106
3321,1,-27,40,194,84
3341,1,-25,40,134,61
3361,1,-70,-40,102,44
3381,1,-100,-40,52,30
3401,1,-84,-40,23,18
3421,1,-62,-26,-19,6
3441,1,-50,-31,-125,-12
3461,1,-34,-31,-272,-45
3483,1,-11,-26,-376,-80
3501,1,9,-33,-431,-107
3521,1,23,-40,-456,-122
3541,1,48,-15,-473,-133
3561,1,81,30,-501,-143
3581,1,94,1,-443,-141
3601,1,62,-40,-343,-123
3621,1,46,-40,-263,-101
3641,1,88,40,-234,-84
3661,1,124,40,-167,-68
3681,1,97,3,-107,-49
3701,1,62,-40,-62,-33
3721,1,73,20,-66,-25
3741,1,118,40,-39,-19
3761,1,120,40,27,-5
3781,1,86,17,70,7
3801,1,73,19,82,17
3821,1,77,40,147,28
3841,1,67,40,258,51
3861,1,47,40,324,74
3881,1,26,25,360,92
3901,1,-3,-11,397,105
3921,1,-21,-5,404,114
3943,1,-12,40,338,111
3961,1,2,40,259,95
3981,1,-17,7,216,80
4001,1,-59,-40,200,69
4021,1,-67,-40,146,58
4041,1,-30,40,104,44
4061,1,-5,40,60,30
4081,1,-34,-40,39,20
4101,1,-73,-40,-1,11
4121,1,-60,-40,-26,1
4141,1,-24,24,-50,-6
4161,1,-5,34,-60,-12
4181,1,-31,-40,-78,-17
4201,1,-64,-40,-102,-24
4221,1,-48,-40,-124,-31
4241,1,-13,7,-138,-36
4261,1,7,14,-177,-44
4281,1,-8,-40,-202,-52
4301,1,-34,-40,-220,-60
4321,1,-18,-40,-226,-64
4341,1,21,18,-246,-68
4361,1,42,24,-224,-68
4381,1,15,-40,-208,-65
4401,1,-12,-40,-207,-63
4421,1,11,-40,-204,-62
4441,1,50,40,-197,-61
4461,1,58,21,-164,-56
4481,1,24,-40,-150,-50
4501,1,5,-40,-159,-48
4521,1,43,21,-165,-48
4541,1,81,40,-136,-47
4561,1,66,0,-100,-38
4581,1,26,-40,-80,-30
4601,1,32,-40,-96,-29
4621,1,83,40,-105,-30
4641,1,100,40,-48,-23
4661,1,66,-21,-9,-13
4681,1,41,-40,-7,-6
4701,1,65,40,-7,-3
4721,1,106,40,37,1
4741,1,98,40,73,11
4761,1,65,5,101,21
4781,1,58,22,118,28
4801,1,65,40,183,39
4821,1,59,40,270,60
4841,1,41,40,326,79
4861,1,20,27,355,94
4881,1,-3,-2,386,103
4901,1,-22,-3,411,114
4921,1,-20,40,352,113
4941,1,-4,40,274,99
4961,1,-18,19,232,84
4981,1,-54,-40,218,75
5001,1,-69,-40,163,63
5021,2,-35,40,114,54
5041,2,-1,40,62,43
5061,2,-17,0,29,31
5083,2,-56,-40,12,21
5101,2,-60,-40,-12,12
5121,2,-20,40,-19,5
5141,2,8,40,-34,0
5161,2,-15,-40,-38,-4
5181,2,-57,-40,-53,-7
5201,2,-45,-40,-73,-12
5221,2,-6,34,-89,-16
5243,2,14,40,-85,-20
5261,2,-17,-40,-82,-22
5281,2,-49,-40,-108,-24
5301,2,-35,-40,-125,-29
5321,2,-1,9,-135,-33
5341,2,18,27,-157,-37
5361,2,4,-40,-182,-42
5381,2,-24,-40,-194,-48
5403,2,-13,-40,-199,-52
5421,2,28,33,-210,-55
5441,2,48,36,-182,-56
5461,2,11,-40,-162,-54
5481,2,-17,-40,-169,-52
5501,2,16,-23,-174,-52
5521,2,54,40,-171,-53
5541,2,47,-15,-127,-48
5561,2,7,-40,-121,-44
5581,2,9,-40,-155,-44
5601,2,56,40,-171,-45
5621,2,79,40,-109,-43
5641,2,41,-40,-78,-37
5661,2,12,-40,-78,-30
5681,2,46,25,-80,-28
5701,2,90,40,-66,-27
5721,2,80,40,-37,-21
5741,2,46,-40,-10,-15
5761,2,38,-40,-25,-12
5781,2,78,40,-26,-10
5801,2,111,40,18,-6
5821,2,85,37,45,0
5841,2,56,-27,71,7
5861,2,63,40,76,12
5881,2,95,40,101,18
5901,2,100,40,154,27
5921,2,77,40,189,37
5941,2,63,40,196,45
5961,2,54,40,265,54
5981,2,39,39,378,72
6001,2,12,5,446,93
6021,2,-13,-10,462,110
6041,2,-17,36,403,117
6061,2,5,40,319,112
6081,2,12,40,260,101
6101,2,-22,-6,240,90
6121,2,-51,-40,233,83
6141,2,-36,33,193,75
6161,2,7,40,160,66
6181,2,11,40,143,58
6201,2,-28,-40,130,51
6221,2,-48,-40,90,43
6241,2,-14,40,79,36
6261,2,22,40,81,31
6281,2,2,21,87,29
6301,2,-34,-40,89,29
6321,2,-31,-20,42,24
6341,2,12,40,21,18
6361,2,30,40,48,15
6381,2,-5,-32,72,16
6401,2,-35,-40,54,17
6421,2,-13,28,44,16
6441,2,25,40,50,15
