t_ms,seg,pitch_x10,duty,wheel_mean
2,0,0,0,0
21,0,0,0,0
41,0,0,-1,0
61,0,0,-2,0
81,0,-1,-2,0
101,0,-1,-1,0
121,0,-1,-3,0
141,0,-1,-2,0
161,0,-1,-2,0
181,0,-1,-2,0
201,0,-1,-2,0
221,0,-1,-1,0
241,0,-1,-2,0
261,0,-1,-1,0
281,0,-1,-1,0
301,0,-1,-1,0
321,0,-1,-1,0
341,0,-1,-1,0
361,0,-1,-1,0
381,0,-1,-1,0
401,0,-1,-1,0
421,0,-1,-1,0
441,0,-1,-1,0
461,0,-1,-1,0
481,0,-1,-1,0
501,0,-1,0,0
521,0,0,1,0
541,0,0,4,0
561,0,2,7,0
581,0,4,12,0
601,0,7,19,0
621,0,8,18,1
641,0,-1,-4,5
661,0,-12,-15,8
681,0,-6,22,7
701,0,11,40,6
721,0,10,40,10
741,0,-22,-40,15
761,0,-43,-40,18
781,0,-10,40,15
801,0,30,40,12
821,0,12,34,15
841,0,-22,-40,22
861,0,-23,-27,22
881,0,14,40,19
901,0,38,40,18
921,0,11,20,23
941,0,-16,-37,31
961,0,-12,17,32
981,0,22,40,30
1002,0,35,40,31
1021,0,1,16,39
1041,0,-23,-28,46
1061,0,-16,39,48
1081,0,17,40,46
1101,0,20,40,49
1121,0,-12,14,57
1141,0,-34,-22,64
1161,0,-28,40,67
1181,0,-1,40,67
1201,0,0,40,70
1221,0,-30,4,77
1241,0,-56,-40,84
1261,0,-49,26,85
1281,0,-12,40,84
1302,0,-4,40,87
1321,0,-41,-13,94
1341,0,-68,-40,101
1361,0,-46,40,101
1381,0,-8,40,99
1401,0,-20,40,103
1421,0,-58,-38,112
1441,0,-77,-40,115
1461,0,-44,40,113
1481,0,-9,40,112
1501,0,-27,40,116
1521,0,-70,-40,125
1541,0,-78,-40,126
1561,0,-37,40,123
1581,0,-15,40,123
1601,0,-44,6,129
1621,0,-83,-40,136
1641,0,-82,-28,136
1661,0,-41,40,132
1681,0,-26,40,132
1701,0,-69,-40,138
1721,0,-105,-40,142
1741,0,-78,0,139
1761,0,-40,40,134
1781,0,-46,26,135
1801,0,-97,-40,141
1821,0,-114,-40,141
1841,0,-80,-1,137
1861,0,-55,40,131
1881,0,-70,-40,131
1901,0,-114,-40,134
1921,0,-117,-40,131
1941,0,-82,-22,124
1961,0,-60,3,116
1981,0,-66,-40,112
2001,0,-86,-40,109
2021,0,-69,-40,102
2041,0,-38,-16,92
2061,0,-19,-9,83
2081,0,-15,-40,77
2101,0,-10,-40,70
2121,0,8,-22,61
2141,0,38,36,52
2161,0,52,33,47
2181,0,15,-40,49
2201,0,-20,-40,49
2221,0,1,-16,44
2241,0,38,40,35
2261,0,35,33,35
2281,0,-4,-40,40
2301,0,-25,-40,40
2321,0,-1,2,34
2341,0,27,40,28
2361,0,19,14,29
2381,0,-27,-40,34
2401,0,-41,-40,32
2421,0,-4,30,28
2441,0,23,40,21
2461,0,1,-25,22
2481,0,-35,-40,27
2501,0,-32,-40,24
2521,1,11,40,17
2541,1,31,40,14
2561,1,-5,-40,16
2581,1,-36,-40,20
2601,1,-12,-8,16
2621,1,29,40,9
2641,1,28,40,9
2661,1,-13,-40,15
2681,1,-30,-40,16
2701,1,6,40,12
2721,1,38,40,7
2741,1,18,12,9
2761,1,-14,-40,15
2781,1,-15,-36,14
2801,1,23,40,10
2821,1,45,40,8
2841,1,14,-3,13
2861,1,-15,-40,19
2881,1,0,25,17
2901,1,40,40,12
2921,1,43,40,15
2941,1,9,-6,22
2961,1,-9,-27,28
2981,1,9,40,26
3001,1,40,40,26
3022,1,25,40,31
3041,1,-8,-9,40
3061,1,-24,-12,45
3081,1,-6,40,46
3101,1,18,40,47
3121,1,1,40,52
3141,1,-32,-22,61
3161,1,-46,-22,66
3181,1,-22,40,66
3201,1,1,40,67
3221,1,-18,40,72
3241,1,-55,-40,80
3261,1,-62,-24,83
3283,1,-20,40,81
3301,1,8,40,81
3321,1,-20,31,86
3341,1,-53,-40,95
3361,1,-49,9,96
3381,1,-12,40,94
3401,1,2,40,96
3421,1,-32,4,101
3441,1,-62,-40,109
3461,1,-49,34,110
3481,1,-8,40,107
3501,1,-8,40,110
3521,1,-51,-32,117
3541,1,-75,-40,122
3561,1,-44,40,121
3581,1,-9,40,119
3601,1,-29,40,122
3621,1,-72,-40,129
3641,1,-80,-40,132
3661,1,-40,40,129
3681,1,-20,40,128
3701,1,-58,-28,134
3721,1,-98,-40,140
3741,1,-78,-1,138
3761,1,-36,40,133
3781,1,-38,40,135
3801,1,-83,-40,142
3821,1,-105,-40,143
3841,1,-73,20,140
3861,1,-44,40,135
3881,1,-64,-22,137
3901,1,-108,-40,142
3921,1,-110,-40,139
3941,1,-72,18,133
3961,1,-52,39,129
3981,1,-83,-40,130
4001,1,-125,-40,131
4021,1,-108,-40,127
4041,1,-73,-3,120
4061,1,-58,-7,112
4081,1,-70,-40,109
4101,1,-88,-40,105
4121,1,-69,-40,97
4141,1,-39,-27,88
4161,1,-23,-26,78
4181,1,-13,-40,69
4201,1,2,-38,60
4221,1,29,1,49
4241,1,55,25,39
4261,1,47,-30,38
4281,1,6,-40,40
4301,1,-4,-40,36
4321,1,29,27,28
4341,1,52,40,22
4361,1,22,-40,22
4381,1,-20,-40,26
4401,1,-18,-40,22
4421,1,19,40,15
4441,1,35,40,11
4461,1,0,-40,14
4481,1,-37,-40,15
4501,1,-15,-36,11
4521,1,25,40,2
4541,1,27,32,2
4561,1,-13,-40,7
4581,1,-34,-40,5
4602,1,1,17,0
4621,1,34,40,-7
4641,1,21,-3,-6
4661,1,-17,-40,-1
4681,1,-18,-40,-4
4701,1,21,40,-10
4721,1,45,40,-14
4741,1,14,-37,-10
4761,1,-18,-40,-6
4781,1,2,2,-10
4801,1,48,40,-16
4821,1,51,40,-16
4841,1,16,-36,-11
4861,1,1,-40,-6
4881,1,35,40,-10
4901,1,73,40,-13
4921,1,57,40,-10
4941,1,27,0,-3
4961,1,18,12,3
4981,1,30,40,5
5001,1,39,40,9
5020,2,9,38,17
5042,2,-17,2,26
5060,2,-16,40,30
5080,2,-1,40,32
5100,2,-7,40,37
5121,2,-25,29,44
5140,2,-37,10,50
5160,2,-43,15,54
5180,2,-46,21,56
5200,2,-54,0,59
5221,2,-66,-34,60
5240,2,-66,-36,59
5261,2,-55,-21,55
5280,2,-42,-7,50
5300,2,-33,-21,46
5320,2,-38,-40,44
5340,2,-38,-40,39
5360,2,-13,-5,33
5380,2,13,35,26
5400,2,11,-12,25
5420,2,-18,-40,27
5441,2,-21,-40,24
5460,2,14,40,18
5481,2,34,40,14
5500,2,4,-40,16
5520,2,-21,-40,18
5540,2,0,0,15
5560,2,32,40,9
5580,2,24,26,10
5600,2,-7,-40,13
5620,2,-15,-40,13
5640,2,17,40,9
5660,2,36,40,7
5680,2,10,-15,9
5700,2,-15,-40,13
5720,2,0,9,11
5740,2,32,40,7
5760,2,31,40,8
5780,2,-1,-38,13
5801,2,-9,-33,15
5820,2,19,40,12
5840,2,41,40,10
5860,2,18,17,13
5880,2,-5,-35,18
5900,2,0,14,19
5920,2,29,40,17
5940,2,35,40,19
5960,2,5,6,24
5980,2,-9,-9,30
6000,2,1,40,31
6020,2,18,40,32
6040,2,12,40,35
6060,2,-8,18,42
6080,2,-20,4,47
6103,2,-21,26,49
6122,2,-18,40,50
6140,2,-29,15,53
6160,2,-48,-34,58
6180,2,-55,-40,57
6200,2,-40,4,53
6220,2,-27,17,49
6240,2,-37,-40,49
6261,2,-56,-40,50
6280,2,-52,-40,46
6300,2,-30,-12,39
6320,2,-13,7,34
6343,2,-14,-37,31
6360,2,-30,-40,30
6381,2,-29,-40,26
6400,2,0,11,20
6420,2,20,30,13
6440,2,5,-40,12
6461,2,-20,-40,14
6480,2,-9,-40,10
6500,2,23,40,3
6520,2,32,40,1
6540,2,1,-40,3
6560,2,-14,-40,4
6580,2,12,16,0
6600,2,39,40,-5
6620,2,26,5,-4
6640,2,-9,-40,0
6660,2,-9,-40,-1
6680,2,28,40,-7
6700,2,43,40,-8
6721,2,11,-32,-6
6740,2,-7,-40,-3
6761,2,14,24,-5
6780,2,43,40,-9
6801,2,33,40,-7
6820,2,6,-37,-3
6840,2,3,-18,-2
6860,2,35,40,-6
6880,2,53,40,-6
6900,2,32,28,-3
6920,2,13,-7,2
6940,2,16,28,4
6960,2,33,40,4
6980,2,34,40,6
7000,2,15,34,13
7020,2,2,15,18
7041,2,0,34,22
7060,2,-4,40,25
7081,2,-18,19,31
7101,2,-36,-6,36
7121,2,-42,-8,38
7140,2,-36,19,38
7161,2,-36,4,37
7181,2,-47,-37,38
7201,2,-48,-40,36
7221,2,-35,-19,31
7240,2,-17,5,27
7260,2,-8,-4,22
7280,2,-19,-40,22
7300,2,-32,-40,21
7320,2,-18,-33,17
7340,2,10,39,10
7360,2,21,29,7
7380,2,-2,-40,8
7400,2,-16,-40,8
7420,2,11,17,3
7440,2,40,40,-1
7460,2,27,8,0
7480,2,-1,-40,2
7501,2,5,-16,1
