t_ms,seg,pitch_x10,duty,wheel_mean
1,0,0,0,0
20,0,0,0,0
40,0,0,0,0
60,0,0,-1,0
80,0,0,-1,0
100,0,0,-1,0
120,0,0,-1,0
140,0,0,0,0
160,0,0,0,0
180,0,0,0,0
200,0,0,0,0
220,0,0,0,0
240,0,0,1,0
260,0,0,2,0
280,0,1,2,0
300,0,1,2,0
320,0,1,2,0
340,0,1,1,0
360,0,1,1,0
380,0,1,1,0
400,0,1,1,0
420,0,1,1,0
440,0,0,0,0
460,0,0,-1,0
480,0,0,-4,0
500,0,-2,-8,0
520,0,-4,-12,0
540,0,-7,-17,0
561,0,-10,-21,0
581,0,-12,-25,-1
600,0,-10,-19,-2
621,0,-2,-1,-5
640,0,2,-2,-7
661,0,-4,-35,-7
680,0,-13,-40,-7
700,0,-6,-22,-10
720,0,20,40,-15
740,0,33,40,-17
760,0,6,-40,-15
780,0,-19,-40,-13
800,0,2,2,-16
820,0,35,40,-21
840,0,31,27,-21
860,0,-1,-40,-17
880,0,-15,-40,-17
900,0,14,35,-21
920,0,40,40,-25
940,0,18,-16,-23
960,0,-19,-40,-18
980,0,-17,-40,-19
1000,0,13,40,-23
1020,0,29,40,-26
1040,0,3,-40,-23
1060,0,-26,-40,-19
1082,0,-14,-35,-22
1100,0,18,40,-28
1120,0,24,37,-28
1140,0,-10,-40,-25
1160,0,-26,-40,-25
1180,0,0,2,-28
1200,0,25,40,-33
1220,0,16,-9,-33
1240,0,-19,-40,-29
1260,0,-25,-40,-31
1280,0,6,17,-36
1300,0,24,40,-40
1320,0,3,-40,-38
1341,0,-27,-40,-36
1360,0,-20,-40,-39
1380,0,10,17,-43
1400,0,23,27,-48
1420,0,2,-40,-47
1440,0,-15,-40,-47
1460,0,2,-33,-51
1480,0,30,27,-59
1500,0,35,7,-61
1520,0,11,-40,-60
1540,0,0,-40,-61
1560,0,27,-1,-66
1580,0,51,40,-73
1600,0,44,-8,-72
1620,0,15,-40,-69
1640,0,10,-40,-70
1660,0,39,35,-75
1680,0,60,40,-78
1700,0,41,-18,-77
1720,0,15,-40,-73
1741,0,24,-19,-76
1760,0,58,40,-80
1780,0,66,40,-80
1800,0,36,-36,-77
1820,0,18,-40,-74
1840,0,43,40,-76
1860,0,73,40,-77
1880,0,58,38,-75
1900,0,27,-40,-69
1920,0,27,0,-68
