t_ms,seg,pitch_x10,duty,wheel_mean
1,0,0,0,0
20,0,0,0,0
40,0,0,1,0
60,0,0,1,0
80,0,0,1,0
100,0,0,1,0
120,0,0,1,0
140,0,0,1,0
160,0,0,0,0
180,0,0,0,0
200,0,0,0,0
220,0,0,0,0
240,0,0,0,0
260,0,0,0,0
280,0,0,0,0
300,0,0,-1,0
320,0,0,-1,0
340,0,0,-1,0
360,0,0,0,0
380,0,0,0,0
400,0,0,0,0
420,0,1,3,0
440,0,2,5,0
460,0,3,7,0
480,0,5,12,0
500,0,8,17,0
520,0,10,21,0
540,0,14,28,0
561,0,17,34,1
580,0,12,18,4
601,0,-4,-15,8
620,0,-14,-15,10
641,0,0,40,9
660,0,14,40,9
680,0,4,23,12
700,0,-26,-40,18
720,0,-36,-40,20
740,0,-3,40,17
760,0,23,40,15
780,0,1,9,18
800,0,-30,-40,25
820,0,-26,-18,24
840,0,6,40,21
860,0,15,40,21
880,0,-15,-32,25
900,0,-39,-40,29
920,0,-25,1,28
940,0,3,40,25
960,0,4,40,25
980,0,-24,-40,29
1000,0,-41,-40,31
1020,0,-20,16,30
1040,0,5,40,26
1060,0,0,23,28
1080,0,-34,-40,32
1100,0,-46,-40,32
1122,0,-14,38,29
1140,0,10,40,26
1160,0,-13,-24,28
1180,0,-45,-40,32
1200,0,-40,-40,30
1220,0,-7,40,26
1240,0,0,39,25
1260,0,-31,-40,28
1280,0,-52,-40,29
1300,0,-29,-10,26
1320,0,-6,36,20
1341,0,-13,-13,21
1360,0,-43,-40,23
1380,0,-52,-40,21
1400,0,-22,-3,17
1420,0,-3,27,11
1440,0,-17,-40,11
1460,0,-45,-40,13
1480,0,-42,-40,9
1500,0,-13,-1,4
1520,0,1,9,-2
1540,0,-13,-40,-3
1560,0,-36,-40,-4
1581,0,-30,-40,-7
1600,0,-7,-23,-14
1620,0,4,-15,-21
1640,0,5,-40,-26
1660,0,5,-40,-30
1680,0,23,-27,-37
1700,0,48,11,-46
1720,0,57,1,-50
1740,0,38,-40,-50
1760,0,21,-40,-50
1780,0,37,-12,-54
1801,0,67,40,-61
1820,0,67,34,-61
1840,0,37,-40,-58
1860,0,23,-40,-58
1880,0,53,40,-62
1900,0,80,40,-65
1920,0,58,10,-63
1940,0,29,-40,-58
1960,0,40,21,-59
1980,0,76,40,-61
