t_ms,seg,duty_pct,play_deg
0,1,43,4
1000,1,36,3
2000,1,19,2
3000,0,18,0
4000,1,41,5
5000,0,45,4
6000,1,18,1
7000,1,46,5
8000,1,50,5
9000,0,29,1
10000,0,23,0
11000,0,35,2
12000,0,36,2
13000,0,46,5
14000,0,50,3
15000,0,37,1
16000,1,48,4
17000,1,28,4
18000,1,41,5
19000,0,17,0
20000,0,42,3
21000,0,42,2
22000,0,38,1
23000,0,32,1
24000,0,49,2
25000,1,31,4
26000,0,26,0
27000,1,25,3
28000,1,28,3
29000,0,40,3
30000,0,49,3
31000,0,26,1
32000,1,44,6
33000,0,38,2
34000,0,37,2
35000,0,41,3
36000,0,31,1
37000,0,34,2
38000,1,23,2
39000,1,27,2
40000,0,23,1
41000,0,16,0
42000,1,27,3
43000,1,34,4
44000,0,23,0
45000,1,17,0
46000,0,42,2
47000,1,43,5
48000,0,31,1
49000,1,35,4
50000,1,21,2
51000,1,30,4
52000,1,47,5
53000,1,20,2
54000,1,19,2
55000,1,41,5
56000,0,26,1
57000,0,44,3
58000,1,16,1
59000,0,36,2
60000,0,26,1
61000,0,42,3
62000,1,39,5
63000,0,38,3
64000,0,17,0
65000,0,45,3
66000,1,50,5
67000,0,38,3
68000,0,42,3
69000,0,41,3
70000,0,43,3
71000,0,21,0
72000,0,40,2
73000,1,17,1
74000,0,40,2
75000,0,44,3
76000,1,44,6
77000,1,39,5
78000,1,43,6
79000,1,22,1
80000,0,50,3
81000,0,27,1
82000,0,37,2
83000,0,21,1
84000,0,17,0
85000,1,18,1
86000,0,47,2
87000,0,18,0
88000,0,35,2
89000,1,30,4
90000,0,27,0
91000,1,44,5
92000,1,46,5
93000,1,23,3
94000,0,50,3
95000,0,25,0
96000,0,17,2
97000,0,39,3
98000,0,49,3
99000,1,32,3
