t_ms,seg,kind,rms_x100,peak_x10,clamp_pct,wheel,fell
0,0,0,119,28,18,-5,0
6000,1,1,134,42,0,11,0
12000,0,0,112,31,2,12,0
18000,1,1,124,36,0,-29,0
24000,0,0,175,42,1,40,0
30000,1,1,284,56,0,160,0
36000,0,0,371,61,21,106,0
42000,1,1,467,67,0,170,0
48000,0,0,675,92,5,170,0
54000,1,1,432,99,1,198,0
60000,0,0,765,145,35,146,0
66000,1,1,994,436,51,69,1
72000,0,0,1067,226,22,299,0
78000,1,1,1185,158,0,600,0
84000,0,0,-1,0,0,622,1
90000,1,1,792,116,0,587,0
96000,0,0,-1,0,0,549,1
102000,1,1,1091,440,66,327,1
108000,0,0,144,45,18,26,0
114000,1,1,313,64,0,153,0
