try 1: hub asleep or busy (rc=1)
try 2: hub asleep or busy (rc=1)
battery mV: 8276
seg,cycle,kind,battery_mV,rms_x100,peak_x10,clamp_pct,wheel,fell,rate_hz
0 , 0 , 0 , 8177 , 220 , 44 , 0 , -55 , 0 , 200
1 , 0 , 1 , 8095 , 143 , 29 , 3 , -33 , 0 , 200
2 , 0 , 2 , 8163 , 134 , 38 , 0 , -23 , 0 , 200
3 , 1 , 0 , 8073 , 111 , 31 , 2 , 27 , 0 , 200
4 , 1 , 1 , 8052 , 148 , 36 , 14 , 32 , 0 , 200
5 , 1 , 2 , 7975 , 234 , 48 , 0 , 190 , 0 , 200
6 , 2 , 0 , 8061 , 361 , 60 , 10 , 100 , 0 , 200
7 , 2 , 1 , 8004 , 490 , 86 , 19 , 153 , 0 , 200
8 , 2 , 2 , 7866 , 695 , 97 , 0 , 416 , 0 , 200
9 , 3 , 0 , 8056 , -1 , 0 , 0 , 238 , 1 , 200
10 , 3 , 1 , 8151 , 191 , 55 , 38 , -10 , 0 , 200
11 , 3 , 2 , 7787 , 114 , 33 , 0 , 133 , 0 , 200
12 , 4 , 0 , 8029 , 326 , 63 , 2 , 93 , 0 , 200
13 , 4 , 1 , 8010 , 611 , 90 , 29 , 169 , 0 , 200
14 , 4 , 2 , 7788 , 873 , 116 , 0 , 528 , 0 , 200
15 , 5 , 0 , 8033 , -1 , 0 , 0 , 477 , 1 , 200
16 , 5 , 1 , 8135 , 269 , 55 , 42 , 70 , 0 , 200
17 , 5 , 2 , 7816 , 548 , 97 , 0 , 250 , 0 , 200
18 , 6 , 0 , 8038 , 822 , 113 , 1 , 231 , 0 , 200
19 , 6 , 1 , 8036 , 1057 , 144 , 37 , 310 , 0 , 200
20 , 6 , 2 , 7780 , 1180 , 185 , 0 , 590 , 0 , 200
END
