battery mV: 8214
seg,cycle,kind,battery_mV,rms_x100,peak_x10,clamp_pct,wheel,fell,rate_hz
0 , 0 , 0 , 8124 , 121 , 34 , 6 , 5 , 0 , 200
1 , 0 , 1 , 8046 , 157 , 38 , 40 , 26 , 0 , 200
2 , 1 , 0 , 7789 , 122 , 32 , 2 , 4 , 0 , 200
3 , 1 , 1 , 7950 , 172 , 40 , 35 , 39 , 0 , 200
4 , 2 , 0 , 7795 , 198 , 42 , 8 , 39 , 0 , 200
5 , 2 , 1 , 8002 , 234 , 53 , 44 , 75 , 0 , 200
6 , 3 , 0 , 7764 , 395 , 67 , 1 , 91 , 0 , 200
7 , 3 , 1 , 7878 , 427 , 66 , 29 , 110 , 0 , 200
8 , 4 , 0 , 7773 , 545 , 78 , 0 , 151 , 0 , 200
9 , 4 , 1 , 7972 , 698 , 95 , 35 , 179 , 0 , 200
10 , 5 , 0 , 7780 , 752 , 107 , 5 , 194 , 0 , 200
11 , 5 , 1 , 8051 , 938 , 122 , 34 , 250 , 0 , 200
12 , 6 , 0 , 7759 , 1139 , 137 , 0 , 289 , 0 , 200
13 , 6 , 1 , 8007 , 1255 , 154 , 38 , 321 , 0 , 200
14 , 7 , 0 , 7762 , 1443 , 176 , 5 , 386 , 0 , 200
15 , 7 , 1 , 7933 , 1687 , 194 , 38 , 432 , 0 , 200
16 , 8 , 0 , 7799 , 1873 , 213 , 1 , 498 , 0 , 200
17 , 8 , 1 , 7971 , 1978 , 222 , 19 , 516 , 0 , 200
18 , 9 , 0 , 7935 , 2202 , 249 , 0 , 580 , 0 , 200
19 , 9 , 1 , 8002 , 2410 , 267 , 39 , 618 , 0 , 200
END
