seg,cycle,kind,battery_mV,rms_x100,mean_x100,sigma_x100,peak_x10,clamp_pct,dmax,wheel,fell,rate_hz
0,0,0,7901,919,-875,281,150,0,117,228,0,200
1,0,1,7767,881,-856,206,124,0,87,204,0,200
2,1,1,6730,859,-836,196,119,0,84,204,0,200
3,1,0,6903,870,-861,121,122,0,55,220,0,200
4,2,0,7771,877,-870,112,121,0,60,217,0,200
5,2,1,7774,920,-900,191,127,0,85,227,0,200
6,3,1,6952,938,-917,196,130,0,85,235,0,200
7,3,0,6958,1030,-1024,106,135,0,64,269,0,200
8,4,0,7761,1101,-1097,95,131,0,44,272,0,200
9,4,1,7774,1197,-1181,194,153,0,84,314,0,200
10,5,1,7114,1333,-1319,190,171,0,85,344,0,200
11,5,0,6784,1458,-1455,94,170,0,61,343,0,200
12,6,0,7753,1590,-1584,133,207,0,73,396,0,200
13,6,1,7784,1792,-1779,219,221,0,88,471,0,200
14,7,1,6137,1953,-1942,206,232,0,88,497,0,200
15,7,0,6662,2110,-2108,85,233,0,43,534,0,200
16,8,0,7734,2294,-2292,91,248,0,38,614,0,200
17,8,1,7764,2323,-2316,185,284,0,87,625,0,200
18,9,1,7553,2637,-2631,181,301,0,79,677,0,200
19,9,0,6690,2800,-2798,113,313,0,65,730,0,200
