Searching for any hub with Pybricks service...
battery mV: 7542
seg,cycle,kind,battery_mV,rms_x100,mean_x100,sigma_x100,peak_x10,clamp_pct,dmax,wheel,fell,rate_hz
0 , 0 , 0 , 7496 , 173 , 53 , 165 , 46 , 0 , 103 , -9 , 0 , 200
H , 0 , 0 , 290 , 155 , 66 , 61 , 62 , 78 , 93 , 107 , 44 , 3
1 , 0 , 1 , 7012 , 133 , -34 , 129 , 31 , 0 , 40 , 13 , 0 , 200
H , 1 , 1 , 232 , 496 , 174 , 54 , 4 , 0 , 0 , 0 , 0 , 0
2 , 0 , 2 , 7441 , 282 , -51 , 278 , 63 , 45 , 100 , -19 , 0 , 200
H , 2 , 2 , 36 , 37 , 56 , 46 , 40 , 59 , 59 , 85 , 99 , 443
3 , 1 , 2 , 6706 , 291 , -61 , 284 , 66 , 45 , 100 , 10 , 0 , 200
H , 3 , 2 , 45 , 38 , 38 , 45 , 52 , 54 , 65 , 80 , 99 , 444
4 , 1 , 1 , 6693 , 215 , -172 , 128 , 53 , 0 , 46 , 78 , 0 , 200
H , 4 , 1 , 315 , 353 , 182 , 93 , 17 , 0 , 0 , 0 , 0 , 0
5 , 1 , 0 , 7424 , 313 , -237 , 205 , 62 , 1 , 107 , 68 , 0 , 200
H , 5 , 0 , 74 , 80 , 68 , 106 , 83 , 128 , 123 , 173 , 86 , 39
6 , 2 , 0 , 7009 , 531 , -459 , 268 , 103 , 23 , 139 , 141 , 0 , 200
H , 6 , 0 , 59 , 67 , 60 , 66 , 68 , 79 , 92 , 95 , 108 , 265
7 , 2 , 1 , 6738 , 795 , -782 , 143 , 120 , 0 , 51 , 362 , 0 , 200
H , 7 , 1 , 343 , 335 , 171 , 69 , 39 , 3 , 0 , 0 , 0 , 0
8 , 2 , 2 , 7425 , 998 , -958 , 277 , 157 , 29 , 100 , 336 , 0 , 200
H , 8 , 2 , 44 , 45 , 55 , 48 , 59 , 64 , 78 , 116 , 136 , 315
9 , 3 , 2 , 6777 , 1155 , -1129 , 242 , 160 , 10 , 100 , 412 , 0 , 200
H , 9 , 2 , 51 , 57 , 57 , 58 , 77 , 81 , 114 , 181 , 156 , 128
10 , 3 , 1 , 6859 , 1445 , -1438 , 140 , 180 , 0 , 56 , 834 , 0 , 200
H , 10 , 1 , 131 , 528 , 262 , 17 , 13 , 9 , 0 , 0 , 0 , 0
11 , 3 , 0 , 7415 , -1 , 0 , -1 , 0 , 0 , 0 , 899 , 1 , 200
H , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
12 , 4 , 0 , 7465 , 263 , -102 , 242 , 102 , 1 , 136 , 7 , 0 , 200
H , 12 , 0 , 306 , 100 , 78 , 98 , 87 , 83 , 81 , 69 , 18 , 39
13 , 4 , 1 , 7251 , 197 , -146 , 132 , 55 , 0 , 56 , 131 , 0 , 200
H , 13 , 1 , 314 , 409 , 170 , 41 , 18 , 8 , 0 , 0 , 0 , 0
14 , 4 , 2 , 7405 , 545 , -441 , 319 , 110 , 43 , 100 , 160 , 0 , 200
H , 14 , 2 , 49 , 33 , 36 , 46 , 63 , 68 , 51 , 82 , 94 , 438
15 , 5 , 2 , 6682 , 703 , -643 , 284 , 131 , 29 , 100 , 273 , 0 , 200
H , 15 , 2 , 45 , 50 , 43 , 58 , 56 , 78 , 84 , 109 , 125 , 312
16 , 5 , 1 , 6806 , 994 , -987 , 123 , 132 , 0 , 44 , 561 , 0 , 200
H , 16 , 1 , 282 , 365 , 253 , 53 , 7 , 0 , 0 , 0 , 0 , 0
17 , 5 , 0 , 7404 , 1326 , -1297 , 277 , 181 , 27 , 146 , 349 , 0 , 200
H , 17 , 0 , 65 , 50 , 66 , 62 , 77 , 58 , 86 , 97 , 101 , 297
18 , 6 , 0 , 6974 , 1631 , -1625 , 138 , 193 , 0 , 96 , 423 , 0 , 200
H , 18 , 0 , 349 , 272 , 99 , 53 , 45 , 52 , 50 , 28 , 7 , 4
19 , 6 , 1 , 7413 , 1652 , -1544 , 588 , 325 , 2 , 100 , 871 , 0 , 200
H , 19 , 1 , 94 , 92 , 117 , 361 , 112 , 45 , 56 , 39 , 12 , 32
20 , 6 , 2 , 7316 , 2330 , -2321 , 197 , 277 , 0 , 71 , 862 , 0 , 200
H , 20 , 2 , 95 , 89 , 111 , 126 , 199 , 236 , 103 , 1 , 0 , 0
END
