token@token lego-rl % scripts/run_on_hub.sh robot/sysid_collision.py
Searching for any hub with Pybricks service...
battery mV: 7514
gains: 10.71 0.8700001 0.43 0.3 tau: 30 slew: 150 trig: rate> 80 or stall< 0.5
targets deg/s: (300, 450, 600, 750) x 3 reps, ascending
S,seg,v_target,battery_mV,hit,fell,v_at_trig,peak_rate,peak_pitch_x10,recov_sigma_x100,trig_eff
D,i,pitch_x100,rate_x10,yaw_x10,wl,wr,duty_x10,vref
S, 0 , 300 , 7512 , 1 , 0 , 854 , 605 , 296 , 1349 , 362
D , 0 , -122 , 981 , 219 , 674 , 694 , 1000 , 300
D , 1 , -107 , 851 , 470 , 681 , 715 , 1000 , 300
D , 2 , -117 , 684 , 406 , 677 , 716 , 1000 , 300
D , 3 , -136 , 524 , -125 , 684 , 709 , 1000 , 300
D , 4 , -161 , 369 , -555 , 687 , 666 , 1000 , 300
D , 5 , -199 , 219 , -296 , 676 , 659 , 1000 , 300
D , 6 , -235 , 79 , 153 , 678 , 691 , 970 , 300
D , 7 , -276 , -59 , 453 , 682 , 693 , 814 , 300
D , 8 , -322 , -189 , 418 , 679 , 697 , 653 , 300
D , 9 , -371 , -307 , 145 , 685 , 708 , 524 , 300
D , 10 , -422 , -414 , -211 , 687 , 669 , 320 , 300
D , 11 , -472 , -504 , -279 , 702 , 670 , 212 , 300
D , 12 , -523 , -581 , 45 , 707 , 768 , 246 , 300
D , 13 , -569 , -619 , 230 , 721 , 760 , 172 , 300
D , 14 , -614 , -619 , 272 , 745 , 737 , 126 , 300
D , 15 , -631 , -554 , 40 , 760 , 757 , 216 , 300
D , 16 , -622 , -411 , -92 , 773 , 776 , 399 , 300
D , 17 , -581 , -201 , -51 , 786 , 797 , 676 , 300
D , 18 , -515 , 40 , 23 , 802 , 850 , 1000 , 300
D , 19 , -436 , 270 , 47 , 799 , 818 , 1000 , 300
D , 20 , -353 , 475 , 70 , 790 , 781 , 1000 , 300
D , 21 , -274 , 627 , -82 , 775 , 752 , 1000 , 300
D , 22 , -205 , 645 , -181 , 773 , 743 , 1000 , 300
D , 23 , -194 , 539 , -109 , 766 , 730 , 1000 , 300
D , 24 , -224 , 334 , -78 , 754 , 765 , 1000 , 300
D , 25 , -281 , 108 , 65 , 760 , 767 , 1000 , 300
D , 26 , -348 , -112 , 320 , 757 , 729 , 857 , 300
D , 27 , -417 , -299 , 379 , 748 , 725 , 601 , 300
D , 28 , -482 , -440 , 155 , 747 , 723 , 404 , 300
D , 29 , -539 , -532 , -268 , 744 , 713 , 244 , 300
D , 30 , -585 , -573 , -286 , 735 , 757 , 212 , 300
D , 31 , -624 , -564 , -92 , 717 , 765 , 163 , 300
D , 32 , -636 , -496 , 123 , 712 , 699 , 102 , 300
D , 33 , -630 , -381 , 118 , 708 , 684 , 180 , 300
D , 34 , -604 , -231 , -106 , 690 , 716 , 360 , 300
D , 35 , -559 , -49 , -263 , 678 , 712 , 542 , 300
D , 36 , -500 , 144 , -140 , 670 , 704 , 750 , 300
D , 37 , -433 , 327 , 118 , 665 , 686 , 947 , 300
D , 38 , -362 , 491 , 124 , 663 , 651 , 1000 , 300
D , 39 , -275 , 618 , 9 , 666 , 644 , 1000 , 300
D , 40 , -218 , 671 , -106 , 669 , 676 , 1000 , 300
D , 41 , -186 , 635 , -176 , 678 , 687 , 1000 , 300
D , 42 , -188 , 502 , -114 , 683 , 690 , 1000 , 300
D , 43 , -221 , 300 , 124 , 685 , 703 , 1000 , 300
D , 44 , -275 , 78 , 70 , 697 , 710 , 983 , 300
D , 45 , -338 , -115 , -48 , 705 , 718 , 771 , 300
D , 46 , -403 , -290 , -119 , 714 , 724 , 571 , 300
D , 47 , -464 , -415 , -110 , 714 , 725 , 400 , 300
D , 48 , -530 , -501 , 15 , 710 , 734 , 261 , 300
D , 49 , -573 , -540 , 59 , 710 , 732 , 178 , 300
D , 50 , -605 , -545 , 43 , 717 , 740 , 161 , 300
D , 51 , -622 , -500 , -74 , 715 , 744 , 186 , 300
D , 52 , -620 , -401 , -124 , 719 , 749 , 287 , 300
D , 53 , -596 , -249 , 49 , 720 , 746 , 442 , 300
D , 54 , -554 , -64 , 141 , 714 , 740 , 631 , 300
D , 55 , -494 , 127 , 72 , 716 , 727 , 845 , 300
D , 56 , -427 , 312 , 8 , 708 , 735 , 1000 , 300
D , 57 , -340 , 472 , -87 , 707 , 741 , 1000 , 300
D , 58 , -275 , 579 , -134 , 715 , 749 , 1000 , 300
D , 59 , -229 , 602 , -79 , 725 , 749 , 1000 , 300
D , 60 , -214 , 527 , 7 , 737 , 745 , 1000 , 300
D , 61 , -233 , 362 , -4 , 750 , 750 , 1000 , 300
D , 62 , -277 , 155 , 86 , 760 , 754 , 1000 , 300
D , 63 , -333 , -35 , 37 , 775 , 762 , 1000 , 300
D , 64 , -381 , -92 , -716 , 772 , 768 , 920 , 300
D , 65 , -324 , 43 , -1257 , 782 , 744 , 1000 , 300
D , 66 , -296 , 97 , -683 , 731 , 726 , 1000 , 300
D , 67 , -294 , 72 , -431 , 740 , 714 , 1000 , 300
D , 68 , -283 , 107 , -532 , 753 , 720 , 1000 , 300
D , 69 , -260 , 177 , -541 , 818 , 739 , 1000 , 300
D , 70 , -230 , 248 , -520 , 823 , 722 , 1000 , 300
D , 71 , -183 , 446 , 166 , 814 , 690 , 1000 , 300
D , 72 , -71 , 677 , 441 , 776 , 684 , 1000 , 300
D , 73 , 14 , 831 , -709 , 776 , 694 , 1000 , 300
D , 74 , 116 , 926 , -1777 , 797 , 704 , 1000 , 300
D , 75 , 177 , 983 , -623 , 822 , 706 , 1000 , 300
D , 76 , 281 , 1191 , 434 , 848 , 716 , 1000 , 300
D , 77 , 381 , 1312 , 770 , 853 , 769 , 1000 , 300
D , 78 , 478 , 1372 , 711 , 856 , 776 , 1000 , 300
D , 79 , 568 , 1458 , 659 , 879 , 797 , 1000 , 300
D , 80 , 661 , 1537 , 589 , 907 , 785 , 1000 , 300
D , 81 , 759 , 1589 , 468 , 914 , 787 , 1000 , 300
D , 82 , 835 , 1516 , -401 , 912 , 802 , 1000 , 300
D , 83 , 852 , 1231 , -743 , 876 , 798 , 1000 , 300
D , 84 , 756 , 662 , -915 , 870 , 788 , 1000 , 300
D , 85 , 613 , 118 , -702 , 850 , 801 , 1000 , 300
D , 86 , 430 , -471 , 182 , 892 , 807 , 1000 , 300
D , 87 , 264 , -716 , 1247 , 885 , 813 , 1000 , 300
D , 88 , 266 , -529 , 1414 , 871 , 808 , 1000 , 300
D , 89 , 313 , -264 , 604 , 789 , 781 , 1000 , 300
D , 90 , 367 , -107 , 144 , 792 , 762 , 1000 , 300
D , 91 , 404 , -30 , 271 , 818 , 777 , 1000 , 300
D , 92 , 427 , 50 , 294 , 875 , 787 , 1000 , 300
D , 93 , 458 , 144 , 502 , 882 , 812 , 1000 , 300
D , 94 , 495 , 242 , 114 , 882 , 834 , 1000 , 300
D , 95 , 528 , 285 , -710 , 882 , 846 , 1000 , 300
D , 96 , 551 , 278 , -1428 , 868 , 828 , 1000 , 300
D , 97 , 521 , 70 , -1599 , 869 , 789 , 1000 , 300
D , 98 , 413 , -319 , -386 , 875 , 802 , 1000 , 300
D , 99 , 237 , -946 , 639 , 852 , 831 , 1000 , 300
T , 100 , -49 , -1480 , 656 , 827 , 882 , 1000 , 300
D , 101 , -288 , -2003 , 321 , 819 , 866 , 479 , 300
D , 102 , -559 , -2531 , -25 , 819 , 852 , -253 , 300
D , 103 , -849 , -3034 , -648 , 890 , 854 , -865 , 300
D , 104 , -1122 , -3378 , -1019 , 898 , 851 , -1000 , 300
D , 105 , -1344 , -3394 , -638 , 890 , 853 , -1000 , 300
D , 106 , -1440 , -3081 , 110 , 867 , 837 , -1000 , 300
D , 107 , -1459 , -2675 , -406 , 844 , 805 , -1000 , 300
D , 108 , -1481 , -2374 , -541 , 801 , 753 , -1000 , 300
D , 109 , -1511 , -2134 , 363 , 753 , 729 , -1000 , 300
D , 110 , -1570 , -2038 , 754 , 690 , 711 , -1000 , 300
D , 111 , -1653 , -2001 , 411 , 626 , 670 , -1000 , 300
D , 112 , -1747 , -1994 , -382 , 557 , 615 , -1000 , 300
D , 113 , -1826 , -1914 , -866 , 503 , 527 , -1000 , 300
D , 114 , -1872 , -1732 , -602 , 443 , 441 , -1000 , 300
D , 115 , -1885 , -1499 , -18 , 363 , 375 , -1000 , 300
D , 116 , -1880 , -1251 , 341 , 302 , 308 , -1000 , 300
D , 117 , -1863 , -1021 , 533 , 239 , 213 , -1000 , 300
D , 118 , -1847 , -841 , 345 , 160 , 132 , -1000 , 300
D , 119 , -1836 , -695 , 192 , 88 , 40 , -1000 , 300
D , 120 , -1834 , -591 , 144 , 14 , -44 , -1000 , 300
D , 121 , -1824 , -455 , 246 , -65 , -108 , -1000 , 300
D , 122 , -1790 , -267 , 363 , -152 , -183 , -1000 , 300
D , 123 , -1734 , -40 , 241 , -283 , -270 , -1000 , 300
D , 124 , -1663 , 183 , 33 , -370 , -346 , -1000 , 300
D , 125 , -1587 , 382 , -71 , -443 , -432 , -1000 , 300
D , 126 , -1491 , 551 , -153 , -508 , -499 , -1000 , 300
D , 127 , -1415 , 695 , -146 , -572 , -561 , -1000 , 300
D , 128 , -1340 , 811 , -130 , -621 , -623 , -1000 , 300
D , 129 , -1265 , 923 , 38 , -655 , -682 , -1000 , 300
D , 130 , -1183 , 1039 , 205 , -693 , -734 , -1000 , 300
D , 131 , -1097 , 1157 , 189 , -730 , -778 , -1000 , 300
