Searching for any hub with Pybricks service...
battery mV: 7594
topple probe: motors coasting, window 3 s, reps 8
R,rep,battery_mV,n_rows,t45_ms,roll_deg
D,i,pitch_x100,rate_x10,wl,wr,wls,wrs
R, 0 , 7591 , 113 , 310 , -1
D , 0 , 2 , 2 , 0 , 0 , 0 , 0
D , 1 , 3 , 5 , 0 , 0 , 0 , 0
D , 2 , 3 , 5 , 0 , 0 , 0 , 0
D , 3 , 3 , 2 , 0 , 0 , 4 , 0
D , 4 , 3 , 0 , 0 , 0 , 0 , 0
D , 5 , 3 , 1 , 0 , 0 , 0 , 0
D , 6 , 3 , -1 , 0 , 0 , 0 , 0
D , 7 , 3 , -1 , 0 , 0 , 0 , 0
D , 8 , 3 , -4 , 0 , 0 , -4 , 0
D , 9 , 3 , -4 , 0 , 0 , -4 , 0
D , 10 , 2 , -6 , 0 , 0 , 4 , 0
D , 11 , 2 , -5 , 0 , 0 , 4 , 0
D , 12 , 2 , -4 , 0 , 0 , 0 , 0
D , 13 , 2 , -4 , 0 , 0 , 4 , 0
D , 14 , 2 , -1 , 0 , 0 , 0 , 0
D , 15 , 1 , -4 , 0 , 0 , 0 , 0
D , 16 , 1 , -2 , 0 , 0 , 0 , 0
D , 17 , 1 , -1 , 0 , 0 , 4 , 0
D , 18 , 1 , -1 , 0 , 0 , 0 , 0
D , 19 , 1 , 1 , 0 , 0 , 0 , 0
D , 20 , 1 , -1 , 0 , 0 , 0 , 0
D , 21 , 1 , -3 , 0 , 0 , 4 , 0
D , 22 , 1 , -3 , 0 , 0 , 4 , 0
D , 23 , 1 , -2 , 0 , 0 , -4 , 0
D , 24 , 1 , -4 , 0 , 0 , 0 , 0
D , 25 , 0 , -4 , 0 , 0 , 4 , 0
D , 26 , 0 , -6 , 0 , 0 , 0 , 0
D , 27 , 0 , -4 , 0 , 0 , 0 , 0
D , 28 , 0 , -7 , 0 , 0 , 0 , 0
D , 29 , 0 , -6 , 0 , 0 , 0 , 0
D , 30 , 0 , -6 , 0 , 0 , -4 , 0
D , 31 , 0 , -6 , 0 , 0 , 0 , 0
D , 32 , -1 , -5 , 0 , 0 , 0 , 0
D , 33 , -1 , -4 , 0 , 0 , -4 , 0
D , 34 , -1 , -3 , 0 , 0 , 0 , 0
D , 35 , -1 , -1 , 0 , 0 , 0 , 0
D , 36 , -1 , 2 , 0 , 0 , 0 , 0
D , 37 , -1 , 15 , 0 , 0 , -4 , 0
D , 38 , 0 , 26 , 0 , 0 , 0 , 0
D , 39 , 1 , 47 , 0 , 0 , 0 , 0
D , 40 , 5 , 79 , 0 , 0 , 4 , 0
D , 41 , 10 , 117 , 0 , 0 , -4 , 0
D , 42 , 16 , 147 , 0 , 0 , -4 , 0
D , 43 , 24 , 163 , 0 , 0 , 0 , 0
D , 44 , 32 , 178 , 0 , 0 , 0 , 0
D , 45 , 42 , 198 , 0 , 0 , -4 , -4
D , 46 , 52 , 236 , 0 , 0 , 0 , 0
D , 47 , 68 , 278 , 0 , 0 , 0 , 0
D , 48 , 83 , 322 , 0 , 0 , 0 , 0
D , 49 , 100 , 357 , 0 , 0 , 0 , 0
D , 50 , 118 , 384 , 0 , 0 , 0 , 0
D , 51 , 137 , 408 , 0 , 0 , -4 , 0
D , 52 , 158 , 431 , 0 , 0 , 0 , 0
D , 53 , 180 , 460 , 0 , 0 , 0 , 0
D , 54 , 203 , 490 , 0 , 0 , -4 , 0
D , 55 , 228 , 531 , 0 , 0 , 0 , 0
D , 56 , 261 , 567 , 0 , 0 , 0 , 0
D , 57 , 290 , 600 , 0 , 0 , 0 , 0
D , 58 , 320 , 634 , 0 , 0 , 0 , 0
D , 59 , 351 , 659 , 0 , 0 , 0 , 0
D , 60 , 384 , 686 , 0 , 0 , -4 , 0
D , 61 , 418 , 709 , 0 , 0 , 0 , 0
D , 62 , 453 , 729 , 0 , 0 , 0 , 0
D , 63 , 490 , 764 , 0 , 0 , 0 , 0
D , 64 , 528 , 808 , 0 , 0 , 0 , 0
D , 65 , 578 , 861 , 0 , 0 , 0 , 4
D , 66 , 622 , 914 , 0 , 0 , 0 , 0
D , 67 , 668 , 968 , 0 , 0 , 0 , 0
D , 68 , 716 , 1010 , 0 , 0 , 0 , 0
D , 69 , 767 , 1052 , 0 , 0 , 0 , 0
D , 70 , 819 , 1099 , 0 , 0 , 0 , 0
D , 71 , 875 , 1160 , 0 , 0 , 0 , 0
D , 72 , 933 , 1225 , 0 , 0 , 0 , 0
D , 73 , 1011 , 1307 , 0 , 0 , 0 , 0
D , 74 , 1076 , 1367 , 0 , 0 , 0 , 0
D , 75 , 1144 , 1421 , 0 , 0 , 0 , 0
D , 76 , 1215 , 1475 , 0 , 0 , 0 , 0
D , 77 , 1288 , 1535 , 0 , 0 , 0 , 0
D , 78 , 1365 , 1591 , 0 , 0 , 0 , 0
D , 79 , 1443 , 1634 , 0 , 0 , 0 , 0
D , 80 , 1524 , 1666 , 0 , 0 , 0 , 0
D , 81 , 1606 , 1708 , 0 , 0 , 0 , -4
D , 82 , 1711 , 1757 , 0 , 0 , 0 , 0
D , 83 , 1799 , 1837 , 0 , 0 , -4 , 0
D , 84 , 1892 , 1960 , 0 , 0 , 0 , -4
D , 85 , 1991 , 2094 , 0 , 0 , -4 , 0
D , 86 , 2097 , 2226 , 0 , 0 , 0 , -4
D , 87 , 2209 , 2338 , 0 , 0 , -4 , -4
D , 88 , 2324 , 2400 , 0 , 0 , -4 , 0
D , 89 , 2443 , 2455 , 0 , 0 , -4 , -4
D , 90 , 2564 , 2519 , 0 , 0 , -4 , -4
D , 91 , 2718 , 2569 , 0 , 0 , -4 , -4
D , 92 , 2845 , 2627 , 0 , 0 , -4 , -4
D , 93 , 2975 , 2728 , 0 , 0 , -4 , -4
D , 94 , 3113 , 2917 , 0 , 0 , -4 , -4
D , 95 , 3263 , 3159 , 0 , 0 , -4 , -4
D , 96 , 3422 , 3346 , 0 , 0 , -4 , -4
D , 97 , 3588 , 3434 , 0 , 0 , -4 , -4
D , 98 , 3756 , 3452 , -1 , 0 , -4 , -4
D , 99 , 3924 , 3507 , -1 , 0 , -8 , -4
D , 100 , 4142 , 3702 , -1 , 0 , -8 , -4
D , 101 , 4333 , 4065 , -1 , 0 , -8 , 0
D , 102 , 4540 , 4338 , -1 , 0 , -8 , -4
D , 103 , 4754 , 4403 , 0 , -1 , -4 , -4
D , 104 , 4968 , 4405 , -1 , -1 , -4 , -4
D , 105 , 5184 , 4527 , 0 , 0 , -4 , -8
D , 106 , 5417 , 4975 , 0 , 0 , -4 , 0
D , 107 , 5674 , 5409 , -1 , 0 , 0 , 4
D , 108 , 5942 , 5520 , 0 , 0 , -4 , 0
D , 109 , 6277 , 5517 , 0 , -1 , 0 , 0
D , 110 , 6556 , 5908 , 0 , 0 , 0 , -4
D , 111 , 6857 , 6352 , 0 , 0 , 0 , 0
D , 112 , 7171 , 6513 , 0 , 0 , 0 , 0
R, 1 , 7587 , 485 , 2160 , 1
D , 0 , -41 , 0 , 0 , 0 , 0 , 0
D , 1 , -41 , 0 , 0 , 0 , 0 , 0
D , 2 , -41 , 0 , 0 , 0 , 0 , 0
D , 3 , -41 , -1 , 0 , 0 , 0 , 0
D , 4 , -41 , -9 , 0 , 0 , 0 , 0
D , 5 , -42 , -18 , 0 , 0 , 0 , 0
D , 6 , -43 , -24 , 0 , 0 , 0 , 0
D , 7 , -45 , -28 , 0 , 0 , 0 , 0
D , 8 , -46 , -28 , 0 , 0 , 0 , 0
D , 9 , -47 , -29 , 0 , 0 , 0 , 0
D , 10 , -49 , -34 , 0 , 0 , 0 , 0
D , 11 , -51 , -41 , 0 , 0 , 0 , 0
D , 12 , -53 , -43 , 0 , 0 , 0 , 0
D , 13 , -55 , -39 , 0 , 0 , 0 , 0
D , 14 , -57 , -32 , 0 , 0 , 0 , 0
D , 15 , -59 , -27 , 0 , 0 , 0 , 0
D , 16 , -60 , -27 , 0 , 0 , 0 , 0
D , 17 , -61 , -27 , 0 , 0 , 0 , 0
D , 18 , -63 , -25 , 0 , 0 , 0 , 0
D , 19 , -64 , -19 , 0 , 0 , 0 , 0
D , 20 , -64 , -6 , 0 , 0 , 0 , 0
D , 21 , -64 , 0 , 0 , 0 , 0 , 0
D , 22 , -64 , 6 , 0 , 0 , 0 , 0
D , 23 , -64 , 6 , 0 , 0 , 0 , 0
D , 24 , -63 , 6 , 0 , 0 , 0 , 0
D , 25 , -63 , 3 , 0 , 0 , 0 , 0
D , 26 , -63 , -5 , 0 , 0 , 0 , 0
D , 27 , -63 , -4 , 0 , 0 , 0 , 0
D , 28 , -63 , 0 , 0 , 0 , 0 , 0
D , 29 , -63 , 0 , 0 , 0 , 0 , 0
D , 30 , -63 , -2 , 0 , 0 , 0 , 0
D , 31 , -64 , -13 , 0 , 0 , 0 , 0
D , 32 , -65 , -23 , 0 , 0 , 0 , 0
D , 33 , -66 , -28 , 0 , 0 , 0 , 0
D , 34 , -68 , -35 , 0 , 0 , 0 , 0
D , 35 , -70 , -43 , 0 , 0 , 0 , 0
D , 36 , -72 , -43 , 0 , 0 , 0 , 0
D , 37 , -74 , -46 , 0 , 0 , 0 , 0
D , 38 , -76 , -46 , 0 , 0 , 0 , 0
D , 39 , -79 , -47 , 0 , 0 , 0 , 0
D , 40 , -82 , -53 , 0 , 0 , 0 , 0
D , 41 , -84 , -53 , 0 , 0 , 0 , 0
D , 42 , -87 , -57 , 0 , 0 , 0 , 0
D , 43 , -90 , -57 , 0 , 0 , 0 , 0
D , 44 , -92 , -50 , 0 , 0 , 0 , 0
D , 45 , -95 , -41 , 0 , 0 , 0 , 0
D , 46 , -96 , -36 , 0 , 0 , 0 , 0
D , 47 , -98 , -34 , 0 , 0 , 0 , 0
D , 48 , -100 , -34 , 0 , 0 , 0 , 0
D , 49 , -102 , -30 , 0 , 0 , 0 , 0
D , 50 , -103 , -26 , 0 , 0 , 0 , 0
D , 51 , -104 , -17 , 0 , 0 , 0 , 0
D , 52 , -105 , -8 , 0 , 0 , 0 , 0
D , 53 , -105 , -3 , 0 , 0 , 0 , 0
D , 54 , -105 , -1 , 0 , 0 , 0 , 0
D , 55 , -105 , -4 , 0 , 0 , 0 , 0
D , 56 , -106 , -4 , 0 , 0 , 0 , 0
D , 57 , -106 , -1 , 0 , 0 , 0 , 0
D , 58 , -106 , 2 , 0 , 0 , 0 , 0
D , 59 , -105 , 7 , 0 , 0 , 0 , 0
D , 60 , -105 , 7 , 0 , 0 , 0 , 0
D , 61 , -105 , 3 , 0 , 0 , 0 , 0
D , 62 , -105 , -1 , 0 , 0 , 0 , 0
D , 63 , -105 , -4 , 0 , 0 , 0 , 0
D , 64 , -105 , -3 , 0 , 0 , 0 , 0
D , 65 , -105 , -2 , 0 , 0 , 0 , 0
D , 66 , -105 , 0 , 0 , 0 , 0 , 0
D , 67 , -105 , 0 , 0 , 0 , 0 , 0
D , 68 , -105 , -1 , 0 , 0 , 0 , 0
D , 69 , -105 , -1 , 0 , 0 , 0 , 0
D , 70 , -105 , -4 , 0 , 0 , 0 , 0
D , 71 , -106 , -6 , 0 , 0 , 0 , 0
D , 72 , -106 , -7 , 0 , 0 , 0 , 0
D , 73 , -106 , -8 , 0 , 0 , 0 , 0
D , 74 , -107 , -8 , 0 , 0 , 0 , 0
D , 75 , -107 , -8 , 0 , 0 , 0 , 0
D , 76 , -108 , -10 , 0 , 0 , 0 , 0
D , 77 , -108 , -12 , 0 , 0 , 0 , 0
D , 78 , -109 , -11 , 0 , 0 , 0 , 0
D , 79 , -110 , -12 , 0 , 0 , 0 , 0
D , 80 , -110 , -12 , 0 , 0 , 0 , 0
D , 81 , -111 , -16 , 0 , 0 , 0 , 0
D , 82 , -112 , -15 , 0 , 0 , 0 , 0
D , 83 , -112 , -13 , 0 , 0 , 0 , 0
D , 84 , -113 , -7 , 0 , 0 , 0 , 0
D , 85 , -113 , -5 , 0 , 0 , 0 , 0
D , 86 , -114 , -6 , 0 , 0 , 0 , 0
D , 87 , -114 , -8 , 0 , 0 , 0 , 0
D , 88 , -114 , -8 , 0 , 0 , 0 , 0
D , 89 , -115 , -9 , 0 , 0 , 0 , 0
D , 90 , -115 , -7 , 0 , 0 , 0 , 0
D , 91 , -116 , -6 , 0 , 0 , 0 , 0
D , 92 , -116 , -4 , 0 , 0 , 0 , 0
D , 93 , -116 , -7 , 0 , 0 , 0 , 0
D , 94 , -117 , -10 , 0 , 0 , 0 , 0
D , 95 , -117 , -11 , 0 , 0 , 0 , 0
D , 96 , -118 , -10 , 0 , 0 , 0 , 0
D , 97 , -118 , -12 , 0 , 0 , 0 , 0
D , 98 , -119 , -10 , 0 , 0 , 0 , 0
D , 99 , -119 , -10 , 0 , 0 , 0 , 0
D , 100 , -120 , -8 , 0 , 0 , 0 , 0
D , 101 , -120 , -8 , 0 , 0 , 0 , 0
D , 102 , -121 , -13 , 0 , 0 , 0 , 0
D , 103 , -122 , -15 , 0 , 0 , 0 , 0
D , 104 , -122 , -17 , 0 , 0 , 0 , 0
D , 105 , -123 , -15 , 0 , 0 , 0 , 0
D , 106 , -124 , -13 , 0 , 0 , 0 , 0
D , 107 , -125 , -10 , 0 , 0 , 0 , 0
D , 108 , -125 , -14 , 0 , 0 , 0 , 0
D , 109 , -126 , -17 , 0 , 0 , 0 , 0
D , 110 , -127 , -22 , 0 , 0 , 0 , 0
D , 111 , -128 , -18 , 0 , 0 , 0 , 0
D , 112 , -129 , -15 , 0 , 0 , 0 , 0
D , 113 , -130 , -15 , 0 , 0 , 0 , 0
D , 114 , -131 , -13 , 0 , 0 , 0 , 0
D , 115 , -131 , -10 , 0 , 0 , 0 , 0
D , 116 , -132 , -11 , 0 , 0 , 0 , 0
D , 117 , -132 , -11 , 0 , 0 , 0 , 0
D , 118 , -133 , -12 , 0 , 0 , 0 , 0
D , 119 , -133 , -11 , 0 , 0 , 0 , 0
D , 120 , -134 , -6 , 0 , 0 , 0 , 0
D , 121 , -134 , -4 , 0 , 0 , 0 , 0
D , 122 , -134 , -7 , 0 , 0 , 0 , 0
D , 123 , -135 , -12 , 0 , 0 , 0 , 0
D , 124 , -136 , -13 , 0 , 0 , 0 , 0
D , 125 , -136 , -15 , 0 , 0 , 0 , 0
D , 126 , -137 , -13 , 0 , 0 , 0 , 0
D , 127 , -138 , -13 , 0 , 0 , 0 , 0
D , 128 , -139 , -17 , 0 , 0 , 0 , 0
D , 129 , -139 , -18 , 0 , 0 , 0 , 0
D , 130 , -140 , -20 , 0 , 0 , 0 , 0
D , 131 , -141 , -15 , 0 , 0 , 0 , 0
D , 132 , -142 , -13 , 0 , 0 , 0 , 0
D , 133 , -142 , -11 , 0 , 0 , 0 , 0
D , 134 , -143 , -11 , 0 , 0 , 0 , 0
D , 135 , -144 , -11 , 0 , 0 , 0 , 0
D , 136 , -144 , -12 , 0 , 0 , 0 , 0
D , 137 , -145 , -11 , 0 , 0 , 0 , 0
D , 138 , -145 , -7 , 0 , 0 , 0 , 0
D , 139 , -146 , -5 , 0 , 0 , 0 , 0
D , 140 , -146 , -5 , 0 , 0 , 0 , 0
D , 141 , -146 , -5 , 0 , 0 , 0 , 0
D , 142 , -146 , -6 , 0 , 0 , 0 , 0
D , 143 , -147 , -6 , 0 , 0 , 0 , 0
D , 144 , -147 , -6 , 0 , 0 , 0 , 0
D , 145 , -147 , -6 , 0 , 0 , 0 , 0
D , 146 , -148 , -2 , 0 , 0 , 0 , 0
D , 147 , -148 , -4 , 0 , 0 , 0 , 0
D , 148 , -148 , -7 , 0 , 0 , 0 , 0
D , 149 , -148 , -7 , 0 , 0 , 0 , 0
D , 150 , -149 , -8 , 0 , 0 , 0 , 0
D , 151 , -149 , -8 , 0 , 0 , 0 , 0
D , 152 , -150 , -8 , 0 , 0 , 0 , 0
D , 153 , -150 , -8 , 0 , 0 , 0 , 0
D , 154 , -150 , -6 , 0 , 0 , 0 , 0
D , 155 , -151 , -9 , 0 , 0 , 0 , 0
D , 156 , -151 , -14 , 0 , 0 , 0 , 0
D , 157 , -152 , -15 , 0 , 0 , 0 , 0
D , 158 , -153 , -17 , 0 , 0 , 0 , 0
D , 159 , -154 , -15 , 0 , 0 , 0 , 0
D , 160 , -155 , -16 , 0 , 0 , 0 , 0
D , 161 , -156 , -19 , 0 , 0 , 0 , 0
D , 162 , -157 , -20 , 0 , 0 , 0 , 0
D , 163 , -158 , -21 , 0 , 0 , 0 , 0
D , 164 , -159 , -25 , 0 , 0 , 0 , 0
D , 165 , -160 , -25 , 0 , 0 , 0 , 0
D , 166 , -161 , -26 , 0 , 0 , 0 , 0
D , 167 , -163 , -25 , 0 , 0 , 0 , 0
D , 168 , -164 , -22 , 0 , 0 , 0 , 0
D , 169 , -165 , -22 , 0 , 0 , 0 , 0
D , 170 , -166 , -18 , 0 , 0 , 0 , 0
D , 171 , -167 , -20 , 0 , 0 , 0 , 0
D , 172 , -168 , -20 , 0 , 0 , 0 , 0
D , 173 , -169 , -15 , 0 , 0 , 0 , 0
D , 174 , -170 , -13 , 0 , 0 , 0 , 0
D , 175 , -170 , -9 , 0 , 0 , 0 , 0
D , 176 , -170 , -7 , 0 , 0 , 0 , 0
D , 177 , -171 , -6 , 0 , 0 , 0 , 0
D , 178 , -171 , -8 , 0 , 0 , 0 , 0
D , 179 , -172 , -8 , 0 , 0 , 0 , 0
D , 180 , -172 , -7 , 0 , 0 , 0 , 0
D , 181 , -172 , -7 , 0 , 0 , 0 , 0
D , 182 , -173 , -6 , 0 , 0 , 0 , 0
D , 183 , -173 , -7 , 0 , 0 , 0 , 0
D , 184 , -173 , -8 , 0 , 0 , 0 , 0
D , 185 , -174 , -11 , 0 , 0 , 0 , 0
D , 186 , -174 , -10 , 0 , 0 , 0 , 0
D , 187 , -175 , -11 , 0 , 0 , 0 , 0
D , 188 , -176 , -13 , 0 , 0 , 0 , 0
D , 189 , -176 , -14 , 0 , 0 , 0 , 0
D , 190 , -177 , -13 , 0 , 0 , 0 , 0
D , 191 , -178 , -12 , 0 , 0 , 0 , 0
D , 192 , -178 , -13 , 0 , 0 , 0 , 0
D , 193 , -179 , -13 , 0 , 0 , 0 , 0
D , 194 , -179 , -12 , 0 , 0 , 0 , 0
D , 195 , -180 , -11 , 0 , 0 , 0 , 0
D , 196 , -181 , -12 , 0 , 0 , 0 , 0
D , 197 , -181 , -11 , 0 , 0 , 0 , 0
D , 198 , -182 , -10 , 0 , 0 , 0 , 0
D , 199 , -182 , -7 , 0 , 0 , 0 , 0
D , 200 , -183 , -6 , 0 , 0 , 0 , 0
D , 201 , -183 , -5 , 0 , 0 , 0 , 0
D , 202 , -183 , -4 , 0 , 0 , 0 , 0
D , 203 , -183 , -6 , 0 , 0 , 0 , 0
D , 204 , -184 , -6 , 0 , 0 , 0 , 0
D , 205 , -184 , -3 , 0 , 0 , 0 , 0
D , 206 , -184 , -1 , 0 , 0 , 0 , 0
D , 207 , -184 , -1 , 0 , 0 , 0 , 0
D , 208 , -184 , -3 , 0 , 0 , 0 , 0
D , 209 , -184 , -4 , 0 , 0 , 0 , 0
D , 210 , -185 , -5 , 0 , 0 , 0 , 0
D , 211 , -185 , -6 , 0 , 0 , 0 , 0
D , 212 , -185 , -9 , 0 , 0 , 0 , 0
D , 213 , -186 , -9 , 0 , 0 , 0 , 0
D , 214 , -186 , -13 , 0 , 0 , 0 , 0
D , 215 , -187 , -13 , 0 , 0 , 0 , 0
D , 216 , -188 , -15 , 0 , 0 , 0 , 0
D , 217 , -189 , -18 , 0 , 0 , 0 , 0
D , 218 , -190 , -21 , 0 , 0 , 0 , 0
D , 219 , -191 , -23 , 0 , 0 , 0 , 0
D , 220 , -192 , -24 , 0 , 0 , 0 , 0
D , 221 , -193 , -21 , 0 , 0 , 0 , 0
D , 222 , -194 , -20 , 0 , 0 , 0 , 0
D , 223 , -195 , -20 , 0 , 0 , 0 , 0
D , 224 , -196 , -21 , 0 , 0 , 0 , 0
D , 225 , -198 , -22 , 0 , 0 , 0 , 0
D , 226 , -199 , -21 , 0 , 0 , 0 , 0
D , 227 , -200 , -19 , 0 , 0 , 0 , 0
D , 228 , -200 , -19 , 0 , 0 , 0 , 0
D , 229 , -201 , -15 , 0 , 0 , 0 , 0
D , 230 , -202 , -15 , 0 , 0 , 0 , 0
D , 231 , -203 , -15 , 0 , 0 , 0 , 0
D , 232 , -204 , -18 , 0 , 0 , 0 , 0
D , 233 , -205 , -18 , 0 , 0 , 0 , 0
D , 234 , -206 , -18 , 0 , 0 , 0 , 0
D , 235 , -206 , -15 , 0 , 0 , 0 , 0
D , 236 , -207 , -13 , 0 , 0 , 0 , 0
D , 237 , -208 , -12 , 0 , 0 , 0 , 0
D , 238 , -208 , -11 , 0 , 0 , 0 , 0
D , 239 , -209 , -12 , 0 , 0 , 0 , 0
D , 240 , -209 , -11 , 0 , 0 , 0 , 0
D , 241 , -210 , -8 , 0 , 0 , 0 , 0
D , 242 , -210 , -6 , 0 , 0 , 0 , 0
D , 243 , -211 , -6 , 0 , 0 , 0 , 0
D , 244 , -211 , -4 , 0 , 0 , 0 , 0
D , 245 , -211 , -7 , 0 , 0 , 0 , 0
D , 246 , -212 , -9 , 0 , 0 , 0 , 0
D , 247 , -212 , -8 , 0 , 0 , 0 , 0
D , 248 , -212 , -10 , 0 , 0 , 0 , 0
D , 249 , -213 , -13 , 0 , 0 , 0 , 0
D , 250 , -214 , -15 , 0 , 0 , 0 , 0
D , 251 , -215 , -18 , 0 , 0 , 0 , 0
D , 252 , -216 , -18 , 0 , 0 , 0 , 0
D , 253 , -217 , -18 , 0 , 0 , 0 , 0
