Searching for any hub with Pybricks service...
battery mV: 7429
slide probe: 2s still / 8s slide / 2s still per rep, 2 reps
D,i,pitch_x100,rate_x10,acc_mm_s2
R, 0 , 7436
D , 0 , 0 , -5 , -344
D , 1 , 0 , 5 , -337
D , 2 , 1 , 12 , -275
D , 3 , 2 , 13 , -177
D , 4 , 3 , 9 , -117
D , 5 , 4 , 5 , -122
D , 6 , 4 , 3 , -86
D , 7 , 4 , -1 , -153
D , 8 , 4 , -2 , -150
D , 9 , 4 , -1 , -169
D , 10 , 3 , -2 , -191
D , 11 , 3 , -2 , -198
D , 12 , 3 , 0 , -253
D , 13 , 3 , 3 , -181
D , 14 , 4 , 3 , -141
D , 15 , 4 , 0 , -102
D , 16 , 4 , -4 , -157
D , 17 , 3 , -7 , -169
D , 18 , 2 , -8 , -225
D , 19 , 2 , -3 , -229
D , 20 , 1 , -5 , -236
D , 21 , 1 , -4 , -225
D , 22 , 0 , -1 , -239
D , 23 , 0 , 1 , -253
D , 24 , 1 , 6 , -208
D , 25 , 1 , 4 , -167
D , 26 , 2 , 4 , -148
D , 27 , 2 , 0 , -189
D , 28 , 2 , -1 , -193
D , 29 , 2 , 0 , -150
D , 30 , 1 , -3 , -160
D , 31 , 1 , -1 , -205
D , 32 , 1 , -4 , -184
D , 33 , 0 , -3 , -215
D , 34 , 0 , -4 , -236
D , 35 , 0 , -2 , -246
D , 36 , 0 , 0 , -205
D , 37 , 0 , 0 , -198
D , 38 , 0 , 0 , -253
D , 39 , 0 , 3 , -239
D , 40 , 0 , 5 , -196
D , 41 , 0 , 4 , -165
D , 42 , 0 , 2 , -165
D , 43 , 0 , 0 , -165
D , 44 , 0 , -3 , -193
D , 45 , 0 , -3 , -193
D , 46 , 0 , -5 , -234
D , 47 , -1 , -6 , -220
D , 48 , -1 , -6 , -256
D , 49 , -1 , -2 , -232
D , 50 , -1 , 1 , -256
D , 51 , -1 , 3 , -248
D , 52 , -1 , 7 , -213
D , 53 , 0 , 8 , -169
D , 54 , 0 , 4 , -129
D , 55 , 0 , 2 , -129
D , 56 , 0 , -2 , -126
D , 57 , 0 , -4 , -167
D , 58 , 0 , -4 , -162
D , 59 , 0 , -4 , -169
D , 60 , -1 , -6 , -201
D , 61 , -2 , -5 , -258
D , 62 , -2 , -1 , -234
D , 63 , -2 , 4 , -260
D , 64 , -2 , 6 , -203
D , 65 , -1 , 7 , -112
D , 66 , -1 , 0 , -179
D , 67 , -1 , -2 , -174
D , 68 , -1 , -3 , -208
D , 69 , -1 , 3 , -220
D , 70 , -1 , 5 , -210
D , 71 , 0 , 3 , -172
D , 72 , 0 , -1 , -150
D , 73 , 0 , -3 , -172
D , 74 , -1 , -3 , -225
D , 75 , -1 , 0 , -253
D , 76 , -1 , 0 , -227
D , 77 , -1 , 3 , -253
D , 78 , 0 , 5 , -225
D , 79 , 0 , 5 , -184
D , 80 , 0 , 1 , -174
D , 81 , 0 , 2 , -189
D , 82 , 0 , 1 , -167
D , 83 , 0 , 0 , -174
D , 84 , 0 , -3 , -191
D , 85 , 0 , -2 , -246
D , 86 , 0 , -1 , -244
D , 87 , 0 , 1 , -248
D , 88 , 0 , 0 , -220
D , 89 , 0 , 3 , -244
D , 90 , 0 , 2 , -189
D , 91 , 1 , 3 , -203
D , 92 , 1 , 2 , -198
D , 93 , 1 , 4 , -181
D , 94 , 2 , 1 , -191
D , 95 , 2 , 0 , -143
D , 96 , 2 , 1 , -169
D , 97 , 2 , 0 , -205
D , 98 , 2 , -3 , -184
D , 99 , 1 , -2 , -191
D , 100 , 1 , -1 , -213
D , 101 , 1 , -1 , -222
D , 102 , 1 , -1 , -229
D , 103 , 1 , -1 , -244
D , 104 , 0 , 0 , -256
D , 105 , 1 , 0 , -198
D , 106 , 1 , 3 , -198
D , 107 , 1 , 3 , -205
D , 108 , 2 , 3 , -181
D , 109 , 2 , 1 , -155
D , 110 , 2 , -2 , -179
D , 111 , 1 , -3 , -184
D , 112 , 1 , -3 , -227
D , 113 , 1 , -1 , -253
D , 114 , 1 , -2 , -201
D , 115 , 0 , -2 , -232
D , 116 , 0 , -1 , -258
D , 117 , 0 , 2 , -203
D , 118 , 1 , 4 , -205
D , 119 , 1 , 0 , -193
D , 120 , 2 , -1 , -177
D , 121 , 2 , 0 , -198
D , 122 , 2 , 3 , -217
D , 123 , 2 , 4 , -174
D , 124 , 2 , 1 , -148
D , 125 , 2 , 0 , -136
D , 126 , 2 , -3 , -150
D , 127 , 1 , -6 , -155
D , 128 , 1 , -9 , -220
D , 129 , 0 , -9 , -313
D , 130 , 0 , -6 , -354
D , 131 , 0 , 0 , -330
D , 132 , 0 , 7 , -287
D , 133 , 0 , 12 , -229
D , 134 , 1 , 10 , -150
D , 135 , 2 , 5 , -59
D , 136 , 2 , 0 , -138
D , 137 , 2 , -5 , -148
D , 138 , 1 , -8 , -234
D , 139 , 1 , -3 , -196
D , 140 , 0 , -2 , -246
D , 141 , 0 , -1 , -270
D , 142 , 0 , 3 , -299
D , 143 , 1 , 7 , -222
D , 144 , 2 , 10 , -201
D , 145 , 3 , 7 , -114
D , 146 , 3 , 0 , -184
D , 147 , 3 , -1 , -165
D , 148 , 3 , 0 , -208
D , 149 , 3 , 3 , -244
D , 150 , 3 , 1 , -196
D , 151 , 4 , 1 , -222
D , 152 , 4 , -1 , -229
D , 153 , 4 , 0 , -229
D , 154 , 4 , 3 , -213
D , 155 , 4 , 2 , -174
D , 156 , 4 , 3 , -203
D , 157 , 4 , -1 , -181
D , 158 , 4 , 0 , -186
D , 159 , 4 , -1 , -232
D , 160 , 4 , 0 , -268
D , 161 , 5 , 7 , -225
D , 162 , 6 , 9 , -191
D , 163 , 6 , 6 , -162
D , 164 , 7 , 3 , -134
D , 165 , 7 , 0 , -157
D , 166 , 7 , 0 , -150
D , 167 , 7 , -2 , -126
D , 168 , 6 , -5 , -102
D , 169 , 6 , -8 , -112
D , 170 , 5 , -11 , -222
D , 171 , 4 , -10 , -325
D , 172 , 3 , -3 , -363
D , 173 , 3 , 1 , -363
D , 174 , 3 , 7 , -320
D , 175 , 4 , 11 , -299
D , 176 , 6 , 16 , -275
D , 177 , 8 , 20 , -201
D , 178 , 10 , 18 , -150
D , 179 , 11 , 16 , -124
D , 180 , 13 , 14 , -100
D , 181 , 14 , 9 , -119
D , 182 , 15 , 6 , -71
D , 183 , 15 , 2 , -98
D , 184 , 15 , -1 , -122
D , 185 , 15 , -3 , -134
D , 186 , 15 , -6 , -126
D , 187 , 14 , -6 , -193
D , 188 , 13 , -4 , -193
D , 189 , 13 , -4 , -193
D , 190 , 13 , -4 , -196
D , 191 , 12 , -1 , -296
D , 192 , 12 , 0 , -265
D , 193 , 12 , 4 , -215
D , 194 , 13 , 4 , -169
D , 195 , 13 , 2 , -78
D , 196 , 13 , -1 , -74
D , 197 , 12 , -11 , -69
D , 198 , 11 , -15 , -196
D , 199 , 9 , -12 , -256
D , 200 , 9 , -4 , -301
D , 201 , 8 , -1 , -315
D , 202 , 8 , 1 , -306
D , 203 , 9 , 5 , -246
D , 204 , 9 , 7 , -203
D , 205 , 10 , 7 , -165
D , 206 , 10 , 2 , -124
D , 207 , 10 , 2 , -138
D , 208 , 10 , -3 , -220
D , 209 , 10 , -1 , -215
D , 210 , 10 , 0 , -189
D , 211 , 10 , 0 , -236
D , 212 , 10 , 1 , -265
D , 213 , 10 , 4 , -205
D , 214 , 11 , 2 , -196
D , 215 , 11 , 0 , -189
D , 216 , 11 , -1 , -181
D , 217 , 11 , -2 , -181
D , 218 , 10 , -3 , -244
D , 219 , 10 , 0 , -282
D , 220 , 10 , 5 , -306
D , 221 , 11 , 9 , -236
D , 222 , 13 , 12 , -155
D , 223 , 14 , 6 , -114
D , 224 , 14 , 3 , -100
D , 225 , 14 , 0 , -222
D , 226 , 14 , 0 , -203
D , 227 , 14 , 2 , -225
D , 228 , 15 , 4 , -172
D , 229 , 15 , 1 , -172
D , 230 , 15 , -1 , -160
D , 231 , 15 , 0 , -196
D , 232 , 15 , 3 , -205
D , 233 , 15 , 3 , -215
D , 234 , 16 , 2 , -143
D , 235 , 16 , 1 , -193
D , 236 , 16 , 2 , -215
D , 237 , 16 , 1 , -229
D , 238 , 16 , 3 , -177
D , 239 , 17 , 4 , -150
D , 240 , 17 , 2 , -150
D , 241 , 17 , -3 , -141
D , 242 , 16 , -4 , -174
D , 243 , 16 , -5 , -198
D , 244 , 15 , -3 , -220
D , 245 , 15 , -2 , -213
D , 246 , 15 , -1 , -263
D , 247 , 15 , 2 , -251
D , 248 , 16 , 6 , -198
D , 249 , 16 , 6 , -186
D , 250 , 17 , 4 , -227
D , 251 , 17 , 4 , -136
D , 252 , 18 , 4 , -69
D , 253 , 18 , -4 , -59
D , 254 , 17 , -10 , -59
D , 255 , 16 , -17 , -153
D , 256 , 14 , -20 , -248
D , 257 , 12 , -13 , -344
D , 258 , 11 , -4 , -349
D , 259 , 11 , 4 , -299
D , 260 , 11 , 5 , -225
D , 261 , 12 , 6 , -239
D , 262 , 13 , 9 , -229
D , 263 , 14 , 9 , -225
D , 264 , 15 , 14 , -268
D , 265 , 17 , 19 , -186
D , 266 , 19 , 12 , -131
D , 267 , 19 , 4 , -157
D , 268 , 19 , 2 , -181
D , 269 , 20 , 5 , -258
D , 270 , 21 , 12 , -287
D , 271 , 23 , 25 , -239
D , 272 , 25 , 26 , -114
D , 273 , 27 , 17 , -26
D , 274 , 29 , 9 , -31
D , 275 , 30 , 6 , -47
D , 276 , 30 , 5 , -71
D , 277 , 30 , -4 , -57
D , 278 , 29 , -13 , -86
D , 279 , 28 , -20 , -177
D , 280 , 25 , -18 , -325
D , 281 , 24 , -9 , -426
D , 282 , 24 , 2 , -485
D , 283 , 24 , 11 , -505
D , 284 , 26 , 29 , -476
D , 285 , 30 , 46 , -438
D , 286 , 36 , 61 , -359
D , 287 , 42 , 65 , -275
D , 288 , 49 , 73 , -169
D , 289 , 57 , 75 , 69
D , 290 , 64 , 70 , 294
D , 291 , 70 , 46 , 371
D , 292 , 73 , 19 , 375
D , 293 , 74 , -3 , 229
D , 294 , 73 , -11 , 143
D , 295 , 71 , -20 , 155
D , 296 , 68 , -36 , 95
D , 297 , 64 , -42 , 14
D , 298 , 60 , -41 , -64
D , 299 , 56 , -38 , -114
D , 300 , 52 , -35 , -69
D , 301 , 49 , -35 , -74
D , 302 , 45 , -41 , -198
D , 303 , 40 , -35 , -366
D , 304 , 38 , -19 , -461
D , 305 , 37 , -1 , -351
D , 306 , 38 , 6 , -275
D , 307 , 38 , 5 , -174
D , 308 , 39 , 2 , -55
D , 309 , 39 , -3 , -11
D , 310 , 38 , -11 , -33
D , 311 , 36 , -18 , -189
D , 312 , 34 , -30 , -23
D , 313 , 30 , -39 , -134
D , 314 , 26 , -36 , -16
D , 315 , 23 , -42 , -14
D , 316 , 18 , -42 , -174
D , 317 , 13 , -41 , -265
D , 318 , 9 , -46 , -275
D , 319 , 4 , -43 , -452
D , 320 , 1 , -28 , -409
D , 321 , 0 , -8 , -339
D , 322 , 0 , -6 , -177
D , 323 , -1 , -1 , -150
D , 324 , 0 , 1 , -246
D , 325 , 0 , 8 , -217
D , 326 , 0 , 0 , 7
D , 327 , 0 , -16 , 134
D , 328 , -3 , -37 , 222
D , 329 , -8 , -57 , 234
D , 330 , -14 , -77 , 93
D , 331 , -23 , -74 , -45
D , 332 , -30 , -73 , -119
D , 333 , -37 , -70 , -117
D , 334 , -43 , -44 , -67
D , 335 , -49 , -85 , 665
D , 336 , -63 , -160 , 442
D , 337 , -81 , -192 , 174
D , 338 , -100 , -197 , -167
D , 339 , -117 , -135 , -385
D , 340 , -126 , -60 , -136
D , 341 , -131 , -30 , -225
D , 342 , -130 , 37 , -528
D , 343 , -122 , 119 , -706
D , 344 , -106 , 196 , -318
D , 345 , -80 , 259 , -375
D , 346 , -52 , 305 , 47
D , 347 , -22 , 307 , 303
D , 348 , 4 , 241 , 651
D , 349 , 24 , 191 , 165
D , 350 , 43 , 156 , 33
D , 351 , 56 , 127 , 533
D , 352 , 66 , 77 , 787
D , 353 , 71 , 33 , 880
D , 354 , 71 , -39 , 921
D , 355 , 64 , -79 , 354
D , 356 , 55 , -92 , -23
D , 357 , 46 , -100 , 394
D , 358 , 35 , -137 , 545
D , 359 , 17 , -174 , 217
D , 360 , 0 , -186 , 181
D , 361 , -16 , -151 , -548
D , 362 , -29 , -119 , -540
D , 363 , -39 , -95 , -33
D , 364 , -52 , -117 , -7
D , 365 , -64 , -132 , -222
D , 366 , -76 , -109 , -876
D , 367 , -85 , -62 , -1189
D , 368 , -89 , -34 , -289
D , 369 , -93 , -60 , 43
D , 370 , -99 , -60 , -459
D , 371 , -103 , -15 , -1096
D , 372 , -103 , 13 , -794
D , 373 , -102 , 0 , -339
D , 374 , -105 , -39 , -560
D , 375 , -109 , -46 , -701
D , 376 , -112 , -26 , -1227
D , 377 , -114 , -11 , -1074
D , 378 , -117 , -45 , -751
D , 379 , -121 , -47 , -1215
D , 380 , -125 , -29 , -1412
D , 381 , -128 , -22 , -1376
D , 382 , -131 , -31 , -1436
D , 383 , -134 , -22 , -1615
D , 384 , -135 , -15 , -1656
D , 385 , -138 , -38 , -1630
D , 386 , -143 , -55 , -1773
D , 387 , -149 , -55 , -1802
D , 388 , -155 , -79 , -1797
D , 389 , -163 , -78 , -2036
D , 390 , -170 , -45 , -2309
D , 391 , -170 , 19 , -2278
D , 392 , -165 , 63 , -1943
D , 393 , -158 , 77 , -1586
D , 394 , -151 , 70 , -1189
D , 395 , -144 , 69 , -1407
D , 396 , -137 , 84 , -1503
D , 397 , -124 , 158 , -1783
D , 398 , -103 , 255 , -1706
D , 399 , -73 , 340 , -1273
D , 400 , -35 , 419 , -844
D , 401 , 9 , 394 , 672
D , 402 , 45 , 327 , 742
D , 403 , 71 , 208 , 684
D , 404 , 85 , 119 , 330
D , 405 , 90 , -6 , 528
D , 406 , 81 , -131 , -52
D , 407 , 63 , -216 , -172
D , 408 , 40 , -256 , -301
D , 409 , 13 , -286 , -588
D , 410 , -15 , -279 , -1019
D , 411 , -41 , -199 , -1709
D , 412 , -56 , -125 , -1235
D , 413 , -68 , -131 , -675
D , 414 , -81 , -141 , -742
D , 415 , -95 , -82 , -1371
D , 416 , -98 , -2 , -1800
