Searching for any hub with Pybricks service...
battery mV: 7436
PHASE A: GREEN 12 s -- wiggle the lever gently WITHIN the play.
A,i,angle_deg
A , 0 , 0
A , 97 , -1
A , 100 , -2
A , 102 , -3
A , 106 , -2
A , 109 , -1
A , 110 , 1
A , 117 , -1
A , 118 , -2
A , 126 , -1
A , 127 , 0
A , 128 , -1
A , 129 , 0
A , 130 , 1
A , 132 , 0
A , 134 , -1
A , 137 , -2
A , 143 , -1
A , 145 , 0
A , 150 , 1
A , 153 , -1
A , 154 , -2
A , 161 , -1
A , 163 , 0
A , 167 , 1
A , 171 , 0
A , 172 , -1
A , 173 , -2
A , 181 , -1
A , 185 , 0
A , 188 , -1
A , 190 , -2
A , 198 , -1
A , 207 , -2
A , 216 , -1
A , 223 , 0
A , 224 , -1
A , 225 , -2
A , 233 , -1
A , 234 , 0
A , 235 , -1
A , 236 , 0
A , 241 , -1
A , 243 , -2
A , 251 , -1
A , 259 , -2
A , 260 , -3
A , 264 , -2
A , 266 , -1
A , 267 , 0
A , 268 , 1
A , 269 , 0
A , 270 , 1
A , 273 , 0
A , 274 , -1
A , 276 , -2
A , 283 , -1
A , 284 , 0
A , 285 , 1
A , 291 , -1
A , 293 , -2
A , 299 , -1
A , 302 , 0
A , 305 , 1
A , 308 , 0
A , 309 , -1
A , 313 , -2
A , 315 , -1
A , 318 , 0
A , 321 , 1
A , 326 , 0
A , 327 , -2
A , 334 , -1
A , 336 , 0
A , 342 , -1
A , 344 , -2
A , 352 , -1
A , 354 , 0
A , 360 , -1
A , 362 , -2
A , 369 , -1
A , 374 , 0
A , 378 , -1
A , 379 , -2
A , 380 , -3
A , 381 , -2
A , 383 , -3
A , 385 , -2
A , 386 , -1
A , 388 , 1
A , 396 , 0
A , 397 , -1
A , 402 , -2
A , 404 , -1
A , 406 , 0
A , 407 , 1
A , 408 , 0
A , 411 , 1
A , 415 , 0
A , 416 , -1
A , 417 , -2
A , 423 , -1
A , 425 , 1
A , 433 , 0
A , 434 , -1
A , 442 , 0
A , 443 , 1
A , 451 , 0
A , 452 , -1
A , 453 , -2
A , 459 , -1
A , 461 , 0
A , 468 , -1
A , 474 , -2
A , 477 , -1
A , 479 , 0
A , 482 , 1
A , 483 , 0
A , 486 , -1
A , 487 , -2
A , 495 , -1
A , 496 , 1
A , 499 , 0
A , 501 , 1
A , 503 , 0
A , 504 , -1
A , 506 , -2
A , 508 , -1
A , 511 , 0
A , 512 , 1
A , 517 , 0
A , 520 , -1
A , 522 , -2
A , 528 , -1
A , 531 , 1
A , 538 , 0
A , 539 , -1
A , 540 , -2
A , 545 , -1
A , 547 , 0
A , 548 , 1
A , 556 , 0
A , 557 , -1
A , 565 , 0
A , 566 , 1
A , 574 , 0
A , 575 , -1
A , 576 , -2
A , 580 , -1
A , 582 , 0
A , 583 , 1
A , 590 , 0
A , 591 , -1
A , 592 , -2
A , 598 , -1
PHASE B: 3 reps. CYAN = press lever onto scale slowly;
MAGENTA = encoder moved, FREEZE and read grams. BLUE = reposition.
B,rep,trigger_deg
B, 0 , -3
B, 1 , -3
B, 2 , -3
END
